accepted_expansions,calibration_constant__expansion_cycles,calibration_constant__optional_factor,calibration_constant__pairwise_factor,calibration_constant__retained_prior,calibration_constant__scale_temperature,calibration_constant__self_return_factor,calibration_constant__size_factor,calibration_stat__calibrated_optional_weight,calibration_stat__calibrated_pairwise_beta,calibration_stat__calibrated_self_return_strength,calibration_stat__calibrated_size_prior,calibration_stat__k,calibration_stat__n,calibration_stat__observations_per_cluster,calibration_stat__optional_molecular_edge_correlation,calibration_stat__optional_reliability,calibration_stat__registered_conflict_median,calibration_stat__registered_conflict_scale,calibration_stat__registered_neighbor_overlap,calibration_stat__registered_similarity_correlation,calibration_stat__retained_effective_rank,calibration_stat__start_stability_median_ari,calibration_stat__view1_edge_coherence,calibration_stat__view1_edge_persistence,calibration_stat__view1_effective_rank,calibration_stat__view1_zero_fraction,calibration_stat__view2_edge_coherence,calibration_stat__view2_edge_persistence,calibration_stat__view2_effective_rank,calibration_stat__view2_zero_fraction,candidate_key,changed_observations,cluster_sizes,config_id,constants_index,cross_dynamic_cycle_global_monotonicity_claimed,cycle_energy_ledger_json,each_frozen_cycle_monotone,evaluated_observations,expansion_cycles_completed,failure,first_cycle_frozen_unary_start_energy,k,lane,last_cycle_frozen_unary_end_energy,mean_optional_conflict,mean_optional_consistency,mean_optional_presence,mean_optional_reliability,mean_pair_weight,mean_prototype_margin,mean_retained_weight,mean_self_return,mean_self_return_stay_cost,mean_view1_weight,mean_view2_weight,min_cluster_relative_to_equal,min_cluster_size,min_cluster_size_before,missing_view_exact_fallback,molecular_accepted_expansions,molecular_changed_observations,molecular_cross_dynamic_cycle_global_monotonicity_claimed,molecular_cycle_energy_ledger_json,molecular_each_frozen_cycle_monotone,molecular_expansion_cycles_completed,molecular_first_cycle_frozen_unary_start_energy,molecular_last_cycle_frozen_unary_end_energy,molecular_mean_pair_weight,molecular_mean_prototype_margin,molecular_mean_retained_weight,molecular_mean_self_return,molecular_mean_self_return_stay_cost,molecular_mean_view1_weight,molecular_mean_view2_weight,molecular_min_cluster_size,molecular_min_cluster_size_before,molecular_observed_cardinality,molecular_pair_edge_count,molecular_scale_broad_normalized,molecular_scale_fine_normalized,molecular_scale_registered_normalized,molecular_self_return_strength,molecular_total_move_assignments,observed_cardinality,optional_missing_exact_molecular_fallback,optional_view_present,pair_edge_count,partition_key,partition_sha256,scale_broad_normalized,scale_fine_normalized,scale_registered_normalized,selector_graph_same_fraction,selector_margin__optional,selector_margin__retained,selector_margin__view1,selector_margin__view2,selector_min_cluster_relative_to_equal,selector_normalized_cluster_entropy,selector_separation__optional,selector_separation__retained,selector_separation__view1,selector_separation__view2,self_return_strength,start_name,status,total_move_assignments,total_observations,wall_seconds
8.0,2,0.6,8.0,1.0,0.25,4.0,0.15,0.1373933613022262,16.613469502060262,4.206995687589842,0.0857459366659221,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_a9a1a88d20348e::kmeans::retained::s1::c7b8bda54c47e421,28.0,"[97,707,150,354,246,274,476,528,127,525]",SC_a9a1a88d20348e,0,,"[{""cycle_index"":0,""start_energy"":3216.8237818915177,""end_energy"":3214.489777991826,""accepted_expansions"":6,""move_assignments"":23},{""cycle_index"":1,""start_energy"":3149.273862168263,""end_energy"":3149.2074966767077,""accepted_expansions"":2,""move_assignments"":5}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5521723628044128,0.0156212154062277,0.7264896035194397,0.4130058288574219,0.696686533237223,,0.3841444849967956,0.2028496414422989,0.2784156142365098,97.0,97.0,0.0,17.0,352.0,0.0,"[{""cycle_index"":0,""start_energy"":4432.330363549857,""end_energy"":4080.556156216071,""accepted_expansions"":10,""move_assignments"":328},{""cycle_index"":1,""start_energy"":3228.707531271384,""end_energy"":3222.2159401111912,""accepted_expansions"":7,""move_assignments"":42}]",1.0,2.0,4432.330363549857,3222.2159401111912,0.0156212154062277,0.7253196239471436,0.4142308235168457,0.696686533237223,2.930957078933716,0.3863047361373901,0.1994644254446029,97.0,96.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,4.206995687589842,370.0,10.0,,1.0,33824.0,A1__SC_a9a1a88d20348e__c7b8bda54c47,c7b8bda54c47e4213c971606babe265239a6472a45326d7869f00d8a628512fe,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6502605674580196,0.0520052835345268,0.174567624926567,0.1793896853923797,0.163219004869461,0.2784156142365098,0.9302844478866376,0.0427383184432983,0.1565157175064087,0.1705130338668823,0.1103268265724182,,kmeans::retained::s1,PASS,28.0,3484,0.5122367000149097
9.0,2,0.6,8.0,1.0,0.25,4.0,0.15,0.1373933613022262,16.613469502060262,4.206995687589842,0.0857459366659221,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_a9a1a88d20348e::kmeans::retained::s0::53bc2dbe0c508922,23.0,"[490,601,150,617,386,289,97,531,194,129]",SC_a9a1a88d20348e,0,,"[{""cycle_index"":0,""start_energy"":3064.254136186031,""end_energy"":3062.982790389232,""accepted_expansions"":7,""move_assignments"":20},{""cycle_index"":1,""start_energy"":3005.6753319744666,""end_energy"":3005.635080544775,""accepted_expansions"":2,""move_assignments"":3}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5360362529754639,0.0156212154062277,0.7388429641723633,0.4130890071392059,0.696686533237223,,0.3926232457160949,0.1942877322435379,0.2784156142365098,97.0,97.0,0.0,17.0,409.0,0.0,"[{""cycle_index"":0,""start_energy"":4477.754764603933,""end_energy"":4122.160060228207,""accepted_expansions"":10,""move_assignments"":400},{""cycle_index"":1,""start_energy"":3118.359815628626,""end_energy"":3109.8079412480884,""accepted_expansions"":7,""move_assignments"":51}]",1.0,2.0,4477.754764603933,3109.8079412480884,0.0156212154062277,0.7380348443984985,0.4147390127182007,0.696686533237223,2.930957078933716,0.3908840715885162,0.194376915693283,97.0,97.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,4.206995687589842,451.0,10.0,,1.0,33824.0,A1__SC_a9a1a88d20348e__53bc2dbe0c50,53bc2dbe0c50892285013f4537559824879acac02397f7a32c3af0092274b670,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6629167011332616,0.0573025792837142,0.1725043803453445,0.1786796450614929,0.1582410633563995,0.2784156142365098,0.929626049530926,0.0424792170524597,0.1554869413375854,0.1699573993682861,0.1125653386116027,,kmeans::retained::s0,PASS,23.0,3484,0.5002598999999464
5.0,2,0.6,8.0,1.0,0.25,4.0,0.15,0.1373933613022262,16.613469502060262,4.206995687589842,0.0857459366659221,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_a9a1a88d20348e::gmm_tied::retained::s0::c7e23c158eca603a,29.0,"[339,161,248,436,746,166,178,994,112,104]",SC_a9a1a88d20348e,0,,"[{""cycle_index"":0,""start_energy"":3053.88897483674,""end_energy"":3052.6400350408403,""accepted_expansions"":4,""move_assignments"":26},{""cycle_index"":1,""start_energy"":2981.9906292830074,""end_energy"":2981.8546442822962,""accepted_expansions"":1,""move_assignments"":3}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5265073776245117,0.0156212154062277,0.6294110417366028,0.3836037814617157,0.696686533237223,,0.346584677696228,0.2698115706443786,0.2985074626865672,104.0,104.0,0.0,14.0,288.0,0.0,"[{""cycle_index"":0,""start_energy"":4013.048033875556,""end_energy"":3782.537432184993,""accepted_expansions"":9,""move_assignments"":268},{""cycle_index"":1,""start_energy"":3061.68614721167,""end_energy"":3058.0566481637384,""accepted_expansions"":5,""move_assignments"":33}]",1.0,2.0,4013.048033875556,3058.0566481637384,0.0156212154062277,0.624618649482727,0.382761687040329,0.696686533237223,2.930957078933716,0.3482432067394256,0.2689951360225677,103.0,103.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,4.206995687589842,301.0,10.0,,1.0,33824.0,A1__SC_a9a1a88d20348e__c7e23c158eca,c7e23c158eca603accd74a07dd43eb12fff1a9a3c015ad13bba38cf096848b4f,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6762345934320456,0.062980830669403,0.1606950610876083,0.1717977076768875,0.1666827648878097,0.2985074626865672,0.8760222880878403,0.0452634096145629,0.1433154344558715,0.1677491068840026,0.1085830330848693,,gmm_tied::retained::s0,PASS,29.0,3484,0.5123607000277843
12.0,2,0.6,8.0,1.0,0.25,4.0,0.15,0.1373933613022262,16.613469502060262,4.206995687589842,0.0857459366659221,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_a9a1a88d20348e::kmeans::view1::s1::b33a38230b5dba62,58.0,"[500,525,283,166,159,497,649,286,155,264]",SC_a9a1a88d20348e,0,,"[{""cycle_index"":0,""start_energy"":3686.3255097565298,""end_energy"":3681.747516874811,""accepted_expansions"":7,""move_assignments"":42},{""cycle_index"":1,""start_energy"":3565.2223802730377,""end_energy"":3564.2896169299847,""accepted_expansions"":5,""move_assignments"":16}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.550042450428009,0.0156212154062277,0.7819205522537231,0.4333882927894592,0.696686533237223,,0.3512188792228699,0.2153928577899933,0.4448909299655568,155.0,155.0,0.0,14.0,446.0,0.0,"[{""cycle_index"":0,""start_energy"":5188.832224205453,""end_energy"":4764.9894318263,""accepted_expansions"":8,""move_assignments"":413},{""cycle_index"":1,""start_energy"":3714.6947555671395,""end_energy"":3703.433902174676,""accepted_expansions"":6,""move_assignments"":55}]",1.0,2.0,5188.832224205453,3703.433902174676,0.0156212154062277,0.7703399658203125,0.4302716553211212,0.696686533237223,2.930957078933716,0.3566408157348633,0.2130875289440155,152.0,152.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,4.206995687589842,468.0,10.0,,1.0,33824.0,A1__SC_a9a1a88d20348e__b33a38230b5d,b33a38230b5dba627ea83f36478e0241ca827117ab45ac9d49591a6e5f167d6b,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6093142526263545,0.05531882122159,0.1634974479675293,0.1863790452480316,0.1430035084486007,0.4448909299655568,0.948350892632998,0.0371515154838562,0.1449100971221923,0.180106520652771,0.0918089151382446,,kmeans::view1::s1,PASS,58.0,3484,0.5142754999978933
11.0,2,0.6,8.0,1.0,0.25,4.0,0.15,0.1373933613022262,16.613469502060262,4.206995687589842,0.0857459366659221,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_a9a1a88d20348e::kmeans::view1::s2::4a559b0ad1347012,45.0,"[493,308,472,162,684,439,193,315,260,158]",SC_a9a1a88d20348e,0,,"[{""cycle_index"":0,""start_energy"":3580.440333083475,""end_energy"":3576.0755320594626,""accepted_expansions"":8,""move_assignments"":35},{""cycle_index"":1,""start_energy"":3474.7767490359533,""end_energy"":3474.4849432338738,""accepted_expansions"":3,""move_assignments"":10}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5480582118034363,0.0156212154062277,0.8208322525024414,0.4242636859416961,0.696686533237223,,0.3529834747314453,0.2227528840303421,0.4535017221584386,158.0,158.0,0.0,17.0,485.0,0.0,"[{""cycle_index"":0,""start_energy"":5225.625816514179,""end_energy"":4788.63185515292,""accepted_expansions"":10,""move_assignments"":438},{""cycle_index"":1,""start_energy"":3736.5466096404944,""end_energy"":3714.381650098814,""accepted_expansions"":7,""move_assignments"":96}]",1.0,2.0,5225.625816514179,3714.381650098814,0.0156212154062277,0.8131693005561829,0.4247980415821075,0.696686533237223,2.930957078933716,0.3572368919849396,0.2179650962352752,159.0,159.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,4.206995687589842,534.0,10.0,,1.0,33824.0,A1__SC_a9a1a88d20348e__4a559b0ad134,4a559b0ad13470126384445a87e409613ec526d446fbce4ecd1bd2107bf50c2c,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6194887914633137,0.0517973341047763,0.1630035638809204,0.1878051161766052,0.1459918022155761,0.4535017221584386,0.9540555341504092,0.037769615650177,0.1443278789520263,0.1804383993148803,0.0918669700622558,,kmeans::view1::s2,PASS,45.0,3484,0.4994772000063676
14.0,2,0.6,2.0,1.0,0.25,1.0,0.05,0.1373933613022262,4.1533673755150655,1.0517489218974605,0.0285819788886407,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_3eac2d8b6ec9e3::kmeans::retained::s1::ce121a4dac288e48,93.0,"[112,707,163,342,232,273,459,542,133,521]",SC_3eac2d8b6ec9e3,1,,"[{""cycle_index"":0,""start_energy"":875.714320722723,""end_energy"":871.7048251647766,""accepted_expansions"":7,""move_assignments"":64},{""cycle_index"":1,""start_energy"":826.6511033853214,""end_energy"":825.5723105607606,""accepted_expansions"":7,""move_assignments"":29}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5464195609092712,0.0156212154062277,0.7480495572090149,0.400828868150711,0.696686533237223,,0.3952882587909698,0.2038828581571579,0.3214695752009185,112.0,112.0,0.0,20.0,475.0,0.0,"[{""cycle_index"":0,""start_energy"":1350.8111063187491,""end_energy"":1145.328710884317,""accepted_expansions"":10,""move_assignments"":411},{""cycle_index"":1,""start_energy"":895.932149515017,""end_energy"":877.6267582291383,""accepted_expansions"":10,""move_assignments"":97}]",1.0,2.0,1350.8111063187491,877.6267582291383,0.0156212154062277,0.7387065887451172,0.4043079018592834,0.696686533237223,0.732739269733429,0.3962522745132446,0.1994397938251495,112.0,110.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,1.0517489218974605,508.0,10.0,,1.0,33824.0,A1__SC_3eac2d8b6ec9e3__ce121a4dac28,ce121a4dac288e48281776f4919a7e9776e3b7b116d67e9c8a1728b8a56045e7,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6943502357515097,0.0512157268822193,0.1725757420063018,0.1765497475862503,0.1674238443374633,0.3214695752009185,0.9339594824227638,0.0458841323852539,0.1516788601875305,0.167169451713562,0.1116354465484619,,kmeans::retained::s1,PASS,93.0,3484,0.4726819000206887
17.0,2,0.6,2.0,1.0,0.25,1.0,0.05,0.1373933613022262,4.1533673755150655,1.0517489218974605,0.0285819788886407,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_3eac2d8b6ec9e3::kmeans::retained::s0::ee13e9deb7ba0b80,120.0,"[502,647,174,535,368,292,114,538,182,132]",SC_3eac2d8b6ec9e3,1,,"[{""cycle_index"":0,""start_energy"":875.6164005157082,""end_energy"":869.7208545701318,""accepted_expansions"":9,""move_assignments"":79},{""cycle_index"":1,""start_energy"":813.1998171435973,""end_energy"":810.6544085939983,""accepted_expansions"":8,""move_assignments"":42}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5329831838607788,0.0156212154062277,0.7662671804428101,0.4030328392982483,0.696686533237223,,0.4023586809635162,0.194608524441719,0.3272101033295063,114.0,113.0,0.0,20.0,501.0,0.0,"[{""cycle_index"":0,""start_energy"":1376.153176148077,""end_energy"":1167.7557694801542,""accepted_expansions"":10,""move_assignments"":408},{""cycle_index"":1,""start_energy"":922.8251491078588,""end_energy"":900.3790126205828,""accepted_expansions"":10,""move_assignments"":131}]",1.0,2.0,1376.153176148077,900.3790126205828,0.0156212154062277,0.7472173571586609,0.4030244648456573,0.696686533237223,0.732739269733429,0.4065825641155243,0.1903930455446243,112.0,108.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,1.0517489218974605,539.0,10.0,,1.0,33824.0,A1__SC_3eac2d8b6ec9e3__ee13e9deb7ba,ee13e9deb7ba0b808995c55fa28c8a776084238bffad8da682c63d4accbb0e46,0.3357642292976379,0.3314894735813141,0.332746297121048,0.7060137314914385,0.0583352260291576,0.170484572649002,0.1771135181188583,0.1635673493146896,0.3272101033295063,0.9350305754486844,0.0452601909637451,0.1500580310821533,0.1667766571044922,0.1124598383903503,,kmeans::retained::s0,PASS,121.0,3484,0.4988377999980002
16.0,2,0.6,2.0,1.0,0.25,1.0,0.05,0.1373933613022262,4.1533673755150655,1.0517489218974605,0.0285819788886407,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_3eac2d8b6ec9e3::gmm_tied::retained::s0::2a8cf52c3d0735ec,86.0,"[392,108,254,447,741,122,261,903,126,130]",SC_3eac2d8b6ec9e3,1,,"[{""cycle_index"":0,""start_energy"":857.9875298428403,""end_energy"":844.1345230772553,""accepted_expansions"":10,""move_assignments"":59},{""cycle_index"":1,""start_energy"":817.3690143252454,""end_energy"":811.4476779160468,""accepted_expansions"":6,""move_assignments"":37}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.5272490978240967,0.0156212154062277,0.6767358779907227,0.3976215422153473,0.696686533237223,,0.3753565549850464,0.2270219326019287,0.3099885189437428,108.0,120.0,0.0,20.0,471.0,0.0,"[{""cycle_index"":0,""start_energy"":1266.5035817542005,""end_energy"":1094.983914396938,""accepted_expansions"":10,""move_assignments"":389},{""cycle_index"":1,""start_energy"":897.0686821334325,""end_energy"":865.2846673628949,""accepted_expansions"":10,""move_assignments"":139}]",1.0,2.0,1266.5035817542005,865.2846673628949,0.0156212154062277,0.6610064506530762,0.393847644329071,0.696686533237223,0.732739269733429,0.3577762842178345,0.2483760863542556,122.0,116.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,1.0517489218974605,528.0,10.0,,1.0,33824.0,A1__SC_3eac2d8b6ec9e3__2a8cf52c3d07,2a8cf52c3d0735ecce2a66b085afb676a2ce7ea1940a844ceae83ac0f344c12f,0.3357642292976379,0.3314894735813141,0.332746297121048,0.7137893953180577,0.0649127215147018,0.1646893322467804,0.1718125939369201,0.1730792820453643,0.3099885189437428,0.8865233651604992,0.0480382442474365,0.1444279551506042,0.1632032990455627,0.1144011616706848,,gmm_tied::retained::s0,PASS,96.0,3484,0.4910160999861546
20.0,2,0.6,2.0,1.0,0.25,1.0,0.05,0.1373933613022262,4.1533673755150655,1.0517489218974605,0.0285819788886407,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_3eac2d8b6ec9e3::kmeans::view1::s1::dfd96f8cafa3e7bf,124.0,"[486,471,282,194,163,524,668,284,147,265]",SC_3eac2d8b6ec9e3,1,,"[{""cycle_index"":0,""start_energy"":1037.003042886332,""end_energy"":1019.5909281603593,""accepted_expansions"":10,""move_assignments"":87},{""cycle_index"":1,""start_energy"":982.5558424355222,""end_energy"":975.503588530712,""accepted_expansions"":10,""move_assignments"":45}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.55528724193573,0.0156212154062277,0.7954275608062744,0.402850329875946,0.696686533237223,,0.3726842999458313,0.2244653552770614,0.4219288174512055,147.0,148.0,0.0,20.0,617.0,0.0,"[{""cycle_index"":0,""start_energy"":1598.8470285982685,""end_energy"":1342.4622118138368,""accepted_expansions"":10,""move_assignments"":487},{""cycle_index"":1,""start_energy"":1102.8229884915645,""end_energy"":1051.698383510045,""accepted_expansions"":10,""move_assignments"":183}]",1.0,2.0,1598.8470285982685,1051.698383510045,0.0156212154062277,0.7826651334762573,0.4138423204421997,0.696686533237223,0.732739269733429,0.3718181848526001,0.2143394947052002,151.0,155.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,1.0517489218974605,670.0,10.0,,1.0,33824.0,A1__SC_3eac2d8b6ec9e3__dfd96f8cafa3,dfd96f8cafa3e7bfe6668bda39a9949ebffc241750576375bf9e54a71040a79d,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6495988088344776,0.0637336820363998,0.1633273810148239,0.1837094277143478,0.1511675268411636,0.4219288174512055,0.9503827036039132,0.0408863425254821,0.1421291828155517,0.1705389022827148,0.0956026315689086,,kmeans::view1::s1,PASS,132.0,3484,0.4865134000137914
20.0,2,0.6,2.0,1.0,0.25,1.0,0.05,0.1373933613022262,4.1533673755150655,1.0517489218974605,0.0285819788886407,10.0,3484.0,348.4,-0.0034207452740057,0.2289889355037104,0.1656913191545754,0.1452122653223108,0.4482510781025395,0.3659940028667679,25.90706982199842,0.4283604222271859,0.3816626049923401,0.2656893283128738,11.26469649393845,0.0,0.3657880735281369,0.3789787590503692,15.999864774781855,0.0,A1::SC_3eac2d8b6ec9e3::kmeans::view1::s2::f2c73d4ce195b049,154.0,"[524,301,451,153,687,437,192,309,243,187]",SC_3eac2d8b6ec9e3,1,,"[{""cycle_index"":0,""start_energy"":1025.502957737479,""end_energy"":1010.8153552916887,""accepted_expansions"":10,""move_assignments"":90},{""cycle_index"":1,""start_energy"":964.7447952451171,""end_energy"":958.6553898158082,""accepted_expansions"":10,""move_assignments"":71}]",1.0,3484,,,,10,A1,,0.2448415905237198,0.3747853636741638,1.0,0.551211416721344,0.0156212154062277,0.8138670325279236,0.4081161618232727,0.696686533237223,,0.369623601436615,0.2222602516412735,0.439150401836969,153.0,153.0,0.0,20.0,609.0,0.0,"[{""cycle_index"":0,""start_energy"":1643.2230264668874,""end_energy"":1352.765023045911,""accepted_expansions"":10,""move_assignments"":523},{""cycle_index"":1,""start_energy"":1068.190657027735,""end_energy"":1025.6090363151068,""accepted_expansions"":10,""move_assignments"":140}]",1.0,2.0,1643.2230264668874,1025.6090363151068,0.0156212154062277,0.8012674450874329,0.4073385894298553,0.696686533237223,0.732739269733429,0.3733470439910888,0.2193143814802169,153.0,155.0,10.0,33824.0,0.3357642292976379,0.3314894735813141,0.332746297121048,1.0517489218974605,663.0,10.0,,1.0,33824.0,A1__SC_3eac2d8b6ec9e3__f2c73d4ce195,f2c73d4ce195b04943d801e453c04438fdc7ccacc2ea3ceaa35c1abe32cb63ac,0.3357642292976379,0.3314894735813141,0.332746297121048,0.6622549425097196,0.0607189647853374,0.1617947667837143,0.1836584359407425,0.1516255289316177,0.439150401836969,0.9538241577789872,0.0429796576499938,0.1412674188613891,0.1709566116333007,0.096639335155487,,kmeans::view1::s2,PASS,161.0,3484,0.4784452999883797
