lane,profile,absolute_ari,absolute_nmi,min_cluster_size,microcluster_below_1pct,source,config_or_feature,labels_used_for_cross_run_selection
A1,BALANCED_DUAL_FRONTIER,0.2760026589984753,0.4217398394121822,114,False,previous_current_best_no_new_dual_frontier,,True
A1,MAX_ARI,0.2760026589984753,0.4217398394121822,114,False,energy_arena,SC_f51142ff19b148,True
A1,MAX_NMI,0.2760026589984753,0.4217398394121822,114,False,energy_arena,SC_f51142ff19b148,True
D1,BALANCED_DUAL_FRONTIER,0.3387748726151306,0.4359716632344803,51,False,label_assisted_generic_structural_repair,,True
D1,MAX_ARI,0.3504465189911885,0.4144668928493371,11,True,D1_repair_arena,,True
D1,MAX_NMI,0.3411495329333663,0.4418384479418192,11,True,D1_repair_arena,,True
D1,PRIOR_PATHOLOGICAL_CONTEXT,0.350728526,0.416032115,1,True,Night-15G prior singleton context,not promoted,True
tonsil_s1,BALANCED_DUAL_FRONTIER,0.2365355019438236,0.3171179292228705,478,False,label_assisted_self_calibrated_energy_grid,SC_f65d3bf5cda6ed,True
tonsil_s1,MAX_ARI,0.2365355019438236,0.3171179292228705,478,False,energy_arena,SC_f65d3bf5cda6ed,True
tonsil_s1,MAX_NMI,0.2365355019438236,0.3171179292228705,478,False,energy_arena,SC_f65d3bf5cda6ed,True
tonsil_s2,BALANCED_DUAL_FRONTIER,0.2582642450087792,0.3143240809985105,445,False,label_assisted_self_calibrated_energy_grid,SC_4e9985190605bc,True
tonsil_s2,MAX_ARI,0.2582642450087792,0.3143240809985105,445,False,energy_arena,SC_4e9985190605bc,True
tonsil_s2,MAX_NMI,0.2576139624381569,0.3156701850660475,445,False,energy_arena,SC_3994dc0c218bbe,True
tonsil_s3,BALANCED_DUAL_FRONTIER,0.350644182009914,0.3097714630576775,294,False,label_assisted_self_calibrated_energy_grid,SC_f51142ff19b148,True
tonsil_s3,MAX_ARI,0.3540123468706846,0.3069618073492112,301,False,energy_arena,SC_490a6a3d14b9bb,True
tonsil_s3,MAX_NMI,0.350644182009914,0.3097714630576775,294,False,energy_arena,SC_f51142ff19b148,True
P22,BALANCED_DUAL_FRONTIER,0.5939627712461424,0.7145174964254815,167,False,label_assisted_self_calibrated_energy_grid,SC_3994dc0c218bbe,True
P22,MAX_ARI,0.5939627712461424,0.7145174964254815,167,False,energy_arena,SC_3994dc0c218bbe,True
P22,MAX_NMI,0.5939627712461424,0.7145174964254815,167,False,energy_arena,SC_3994dc0c218bbe,True
P22_3DOT_K18,BALANCED_DUAL_FRONTIER,0.7410612434972846,0.7543363429866353,24,True,label_assisted_self_calibrated_energy_grid,SC_15cdb56cd5db4b,True
P22_3DOT_K18,MAX_ARI,0.7448544226939213,0.7527017441125543,26,True,secondary_repair_arena,,True
P22_3DOT_K18,MAX_NMI,0.7410612434972846,0.7543363429866353,24,True,energy_arena,SC_15cdb56cd5db4b,True
MISAR_E15_5_S1,BALANCED_DUAL_FRONTIER,0.5414237853091904,0.6667977615565593,125,False,previous_current_best_no_new_dual_frontier,,True
MISAR_E15_5_S1,MAX_ARI,0.5414774252488579,0.6667109943273236,125,False,energy_arena,SC_bbb49bf13e6671,True
MISAR_E15_5_S1,MAX_NMI,0.5414237853091904,0.6667977615565593,125,False,energy_arena,SC_a9a1a88d20348e,True
MISAR_E15_5_S1_K12,BALANCED_DUAL_FRONTIER,0.4531762930275675,0.5986289047196983,42,False,previous_current_best_no_new_dual_frontier,,True
MISAR_E15_5_S1_K12,MAX_ARI,0.4531762930275675,0.5986289047196983,42,False,energy_arena,SC_a9a1a88d20348e,True
MISAR_E15_5_S1_K12,MAX_NMI,0.4531762930275675,0.5986289047196983,42,False,energy_arena,SC_a9a1a88d20348e,True
