group,lanes,lane_count,old_mean_ari,old_mean_nmi,internal_mean_ari,internal_mean_nmi,automatic_mean_ari,automatic_mean_nmi,automatic_delta_ari_vs_old,automatic_delta_nmi_vs_old,held_out_current_group_labels_before_lock
RNA_PROTEIN_PRIMARY,A1;D1;tonsil_s1;tonsil_s2;tonsil_s3,5,0.2817079166416171,0.3547046603763367,0.29204429211522454,0.35978499518514423,0.12778323772199496,0.2443065549540652,-0.15392467891962217,-0.11039810542227146,0
RNA_ATAC_PRIMARY,P22;MISAR_E15_5_S1,2,0.5676679697995839,0.6905203064586545,0.5676932782776665,0.6906576289910205,0.3953174327411188,0.5512991587401068,-0.1723505370584651,-0.13922114771854754,0
LYMPH_NODE_TRANSFER,A1;D1,2,0.2824393336666752,0.41775072219975007,0.30738876580680297,0.4288557513233312,0.16109100584059155,0.29244646876022773,-0.12134832782608365,-0.1253042534395223,0
TONSIL_TRANSFER,tonsil_s1;tonsil_s2;tonsil_s3,3,0.28122030529157843,0.31267395249406105,0.28181464298750564,0.31373782442635284,0.10557805897626393,0.21221327908329013,-0.17564224631531453,-0.10046067341077092,0
P22_TRANSFER_PRIMARY,P22,1,0.5939121542899773,0.7142428513607495,0.5939627712461424,0.7145174964254815,0.4417796088743956,0.5755917907885308,-0.15213254541558174,-0.13865106057221865,0
MISAR_TRANSFER_PRIMARY,MISAR_E15_5_S1,1,0.5414237853091904,0.6667977615565593,0.5414237853091904,0.6667977615565593,0.348855256607842,0.5270065266916829,-0.19256852870134844,-0.13979123486487643,0
