absolute_ari,absolute_nmi,ami,candidate,cluster_sizes,fmi,graph_same_fraction,k,lane,margin__molecular_fused,margin__molecular_morph_coord,margin__morph_handcrafted,margin__morph_resnet,margin__retained,margin__view1,margin__view2,min_cluster_relative_to_equal,min_cluster_size,normalized_cluster_entropy,partition_centrality_median_ari,partition_sha256,separation__molecular_fused,separation__molecular_morph_coord,separation__morph_handcrafted,separation__morph_resnet,separation__retained,separation__view1,separation__view2,wall_seconds_lane
0.25782914756718833,0.4140557787969627,0.41024789351203395,teacher::MIX_R20_MCDF_GATED_mcdf_R40_MCDF_MASKED_MODALITY_base_fused_W0.50|GMM_TIED+REFINE_T0.90_S1|0,"[102,156,688,325,326,420,183,125,259,900]",0.40073589352147043,0.5727520886756555,10,A1,0.11573979258537292,0.08360521495342255,0.07499831169843674,0.0812329575419426,0.14359666407108307,0.15690572559833527,0.15167395770549774,0.29276693455797936,102,0.9023805485412638,0.20198096409408214,a69fa50a19237c276714f41eb1cca530ec0eecb425406a23113d1db59b2e2b13,0.09739643335342407,0.0703819990158081,0.05345594882965088,0.05639272928237915,0.1338711380958557,0.16081440448760986,0.10428565740585327,27.340194500022335
0.2523891863252739,0.40945476404121606,0.40561651194434545,teacher::MIX_R20_MCDF_GATED_base_fused_R40_MCDF_MASKED_MODALITY_mcdf_W0.50|GMM_TIED|1,"[259,748,527,141,307,806,274,111,127,184]",0.39578469098256125,0.6018694681115063,10,A1,0.12125011533498764,0.08707738667726517,0.08389953523874283,0.0855456218123436,0.14850568771362305,0.1623760163784027,0.16181330382823944,0.3185993111366246,111,0.90226795545711,0.22271041276168452,bde62c491603692f7878f4e4bf66fbb307c417a2f510438e90d9f8d9e1142c22,0.09974491596221924,0.0720866322517395,0.05642211437225342,0.05964028835296631,0.13632088899612427,0.162858247756958,0.10919684171676636,27.35018820001278
0.25163954319493814,0.40307253779833896,0.39930649939279844,teacher::MIX_R40_MCDF_MASKED_MODALITY_z1_R40_MCDF_MASKED_MODALITY_z2_W0.50|GMM_DIAG|0,"[276,330,436,664,231,190,109,288,381,579]",0.38881512141416286,0.5418975928530069,10,A1,0.11080028116703033,0.07715801894664764,0.07280007004737854,0.0796608179807663,0.1367315798997879,0.14567609131336212,0.1593872606754303,0.31285878300803677,109,0.9525828532104601,0.21502335519959226,ef5362b3cca60a1e44918224d1e3c66160dc9a049cf0180ac940c7f42a154f23,0.0934213399887085,0.06835681200027466,0.05450785160064697,0.057566285133361816,0.13079124689102173,0.1518944501876831,0.10542643070220947,27.360078700003214
0.24730122195192894,0.4010667911803059,0.3972762600859218,teacher::MIX_R20_MCDF_GATED_base_fused_R40_MCDF_MASKED_MODALITY_base_fused_W0.50|GMM_DIAG+REFINE_T0.90_S1|1,"[246,569,535,272,195,270,231,97,442,627]",0.38540346163712635,0.49813880387128795,10,A1,0.11258728057146072,0.08018707484006882,0.07292056828737259,0.0621841624379158,0.145017609000206,0.16207389533519745,0.13904514908790588,0.2784156142365098,97,0.9466130161761616,0.18711682195018278,65b0bdf2fc9084e4480c331ed2f20c8f46a789efbb3d0ae1b14f8badd5d3da34,0.0952615737915039,0.0710066556930542,0.050128161907196045,0.05302631855010986,0.13766300678253174,0.1678125262260437,0.09552586078643799,27.369251600001007
0.24023489725731006,0.3972771282348933,0.39346607223819824,teacher::R20_MCDF_GATED_mcdf__P4_B35_S1|KMEANS+REFINE_T0.90_S1|1,"[165,536,532,613,347,185,392,157,162,395]",0.378876951316859,0.669286127884854,10,A1,0.12696599960327148,0.09386429190635681,0.09075278788805008,0.0926697701215744,0.16124075651168823,0.16991467773914337,0.15746590495109558,0.4506314580941447,157,0.9492371005069827,0.19640860020886275,35bf1d328c4b35ccf563b4ed8a4b9131c2d993820923736cec4351145532d86d,0.09894239902496338,0.07622218132019043,0.061151206493377686,0.06539225578308105,0.14400076866149902,0.1682119369506836,0.10267752408981323,27.380492800002685
0.23894263704637722,0.3982664025223572,0.3943184874624007,teacher::MIX_R20_MCDF_GATED_base_fused_R20_MCDF_GATED_mcdf_W0.50|GMM_TIED|1,"[255,244,119,878,108,233,203,400,183,861]",0.3882417715799607,0.5936802051451733,10,A1,0.12359382957220078,0.08552903681993484,0.07970567792654037,0.07491781562566757,0.14771386981010437,0.1613909900188446,0.16965408623218536,0.30998851894374285,108,0.8873465770904868,0.22621711656127808,3984b3fe88401e3fa2aca92d984e1ab8a3f9c1e7b240ff73fdc3c99ff1bc3604,0.09919542074203491,0.07028412818908691,0.05354809761047363,0.05742675065994263,0.13348239660263062,0.1600797176361084,0.10908132791519165,27.39167140002246
0.273021059361755,0.4173676729225421,0.413562764281667,bank::consensus,"[272,773,579,182,307,796,159,108,121,187]",0.414132972754862,0.5830093473405575,10,A1,0.11627108603715897,0.08350928872823715,0.07763246446847916,0.07896694540977478,0.1446186900138855,0.15805113315582275,0.15291523933410645,0.30998851894374285,108,0.8943023215685546,0.20946977661629493,4ac70f4456d6f08894ade01465028163bc6ba898df1dcec6e860eac04f2dfdfd,0.09615635871887207,0.06943964958190918,0.05253344774246216,0.05550175905227661,0.1326581835746765,0.16013795137405396,0.10352879762649536,27.402704200008884
0.2755428271577712,0.42013792563053437,0.416352017706177,authority::night15f,"[275,775,575,181,311,793,159,109,121,185]",0.41617003213053055,0.5985606749937961,10,A1,0.11666678637266159,0.08374618738889694,0.0769784078001976,0.07825847715139389,0.14461584389209747,0.1580955535173416,0.15313462913036346,0.31285878300803677,109,0.8947211738531036,0.2092224929569636,db0f4674c544bb996d45d3123f4d1a4813a2eccff1def238145d9712e55fc86f,0.09640473127365112,0.06980657577514648,0.052973031997680664,0.056338727474212646,0.1329600214958191,0.16042137145996094,0.103817880153656,27.415689500019653
0.2760026589984753,0.42173983941218224,0.4179696235567275,night15g::A1__balanced,"[277,773,568,182,307,790,168,114,121,184]",0.41627457695164916,0.6082388948630987,10,A1,0.1167374774813652,0.08431696891784668,0.07971450686454773,0.08072169125080109,0.14481021463871002,0.15782219171524048,0.1543031930923462,0.32721010332950634,114,0.8972182160422406,0.20984665157010007,9bcf8dbf19dded510dbe24ecb034809a899c553db7b1cd446d64948af2e4d69a,0.09619659185409546,0.07025635242462158,0.055186569690704346,0.05838644504547119,0.13312071561813354,0.1602768898010254,0.10343730449676514,27.427752400020836
0.18854777692679614,0.32792808021805253,0.323642163079359,kmeans::retained::s0,"[520,635,153,564,447,292,98,442,202,131]",0.3352629282667154,0.5095541401273885,10,A1,0.1365792155265808,0.1004343032836914,0.06080701947212219,0.05384235456585884,0.17877642810344696,0.18525157868862152,0.15201842784881592,0.2812858783008037,98,0.932978884537578,0.21440655722519167,d65b217eb99e8878d94154129fdc18c5cd46042d8c081eba244b1f58c7a4f13d,0.10964173078536987,0.08337545394897461,0.04656440019607544,0.050825536251068115,0.16356021165847778,0.18018025159835815,0.11100375652313232,27.43985560000874
