lane,old_best_ari,old_best_nmi,internal_frontier_ari,internal_frontier_nmi,automatic_ari,automatic_nmi,automatic_gap_ari_to_internal,automatic_gap_nmi_to_internal
A1,0.2760026589984753,0.4217398394121822,0.2760026589984753,0.4217398394121822,0.1885477769267961,0.3279280802180525,-0.0874548820716792,-0.0938117591941297
D1,0.2888760083348751,0.4137616049873179,0.3387748726151306,0.4359716632344803,0.133634234754387,0.256964857302403,-0.20514063786074363,-0.1790068059320773
tonsil_s1,0.2362200562391569,0.3168843080420388,0.2365355019438236,0.3171179292228705,0.101531590938211,0.2302636207137904,-0.1350039110056126,-0.08685430850908013
tonsil_s2,0.2575602926237894,0.3118710301871841,0.2582642450087792,0.3143240809985105,0.1471085765369763,0.2277186689476447,-0.11115566847180292,-0.0866054120508658
tonsil_s3,0.349880567011789,0.3092665192529602,0.350644182009914,0.3097714630576775,0.0680940094536045,0.1786575475884353,-0.2825501725563095,-0.1311139154692422
P22,0.5939121542899773,0.7142428513607495,0.5939627712461424,0.7145174964254815,0.4417796088743956,0.5755917907885308,-0.15218316237174678,-0.1389257056369506
P22_3DOT_K18,0.7396852743147485,0.7542182135683022,0.7410612434972846,0.7543363429866353,0.3606051987188641,0.5451496075555058,-0.38045604477842054,-0.20918673543112953
MISAR_E15_5_S1,0.5414237853091904,0.6667977615565593,0.5414237853091904,0.6667977615565593,0.348855256607842,0.5270065266916829,-0.19256852870134844,-0.13979123486487643
MISAR_E15_5_S1_K12,0.4531762930275675,0.5986289047196983,0.4531762930275675,0.5986289047196983,0.3186160310074261,0.5450540791022462,-0.13456026202014143,-0.05357482561745208
