Index,lane,ablation,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,min_cluster_size,partition_sha256,delta_ari_vs_full,delta_nmi_vs_full
0,A1,FULL,0.1885477769267961,0.3279280802180525,0.323642163079359,0.3352629282667154,0.4824319868183938,0.5164060534707146,98,d65b217eb99e8878d94154129fdc18c5cd46042d8c081eba244b1f58c7a4f13d,0.0,0.0
1,A1,NO_SELF_RETURN,0.1729162393756934,0.332509937665358,0.3281920483365128,0.3260263384283893,0.8341169380833791,0.1672359255047705,108,90902b741d4e5a5724474ac6d1b38b02ff883d138afd659f92fa47ddafb46293,-0.01563153755110272,0.0045818574473055484
2,A1,REGISTERED_SCALE_ONLY,0.1883923338232249,0.3278387956473901,0.323552361081475,0.3351235092623374,0.4829133737200295,0.5159215800961361,98,38840317beefb4f7fc06423fa41fbfa45e38b77b9ecf0d4f46238ec960979842,-0.00015544310357121227,-8.92845706623735e-05
3,A1,FIXED_EQUAL_MODALITY_WEIGHTS,0.1885477769267961,0.3279280802180525,0.323642163079359,0.3352629282667154,0.4824319868183938,0.5164060534707146,98,d65b217eb99e8878d94154129fdc18c5cd46042d8c081eba244b1f58c7a4f13d,0.0,0.0
4,A1,MORPHOLOGY_MISSING,0.1885477769267961,0.3279280802180525,0.323642163079359,0.3352629282667154,0.4824319868183938,0.5164060534707146,98,d65b217eb99e8878d94154129fdc18c5cd46042d8c081eba244b1f58c7a4f13d,0.0,0.0
5,A1,MORPHOLOGY_PERMUTED,0.1885477769267961,0.3279280802180525,0.323642163079359,0.3352629282667154,0.4824319868183938,0.5164060534707146,98,d65b217eb99e8878d94154129fdc18c5cd46042d8c081eba244b1f58c7a4f13d,0.0,0.0
6,D1,FULL,0.133634234754387,0.256964857302403,0.252209680556844,0.2790289947115856,0.352117273076262,0.6481568534787114,130,8b59ef6d92ffa53a159e29b2365cd0868c5ea8a9a0e820c8e722fc9f2d09914e,0.0,0.0
7,D1,NO_SELF_RETURN,0.1440663736014817,0.2905675625362616,0.2859078609820801,0.3162618067156534,0.73273560708641,0.2749164514863746,3,5cfb1649a3962ae7b7502951f5fc824a082dfb301ef1d3d3535b031ab2f25181,0.010432138847094707,0.03360270523385861
8,D1,REGISTERED_SCALE_ONLY,0.133634234754387,0.256964857302403,0.252209680556844,0.2790289947115856,0.352117273076262,0.6481568534787114,130,8b59ef6d92ffa53a159e29b2365cd0868c5ea8a9a0e820c8e722fc9f2d09914e,0.0,0.0
9,D1,FIXED_EQUAL_MODALITY_WEIGHTS,0.133634234754387,0.256964857302403,0.252209680556844,0.2790289947115856,0.352117273076262,0.6481568534787114,130,8b59ef6d92ffa53a159e29b2365cd0868c5ea8a9a0e820c8e722fc9f2d09914e,0.0,0.0
10,D1,MORPHOLOGY_MISSING,0.133634234754387,0.256964857302403,0.252209680556844,0.2790289947115856,0.352117273076262,0.6481568534787114,130,8b59ef6d92ffa53a159e29b2365cd0868c5ea8a9a0e820c8e722fc9f2d09914e,0.0,0.0
11,D1,MORPHOLOGY_PERMUTED,0.133634234754387,0.256964857302403,0.252209680556844,0.2790289947115856,0.352117273076262,0.6481568534787114,130,8b59ef6d92ffa53a159e29b2365cd0868c5ea8a9a0e820c8e722fc9f2d09914e,0.0,0.0
