lane,held_out_study,family,total_observations,evaluated_observations,k,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,delta_ari_vs_current_best,delta_nmi_vs_current_best,min_cluster_size,cluster_sizes,partition_sha256,candidate_key,parameter_source
A1,LYMPH_NODE,RNA_PROTEIN,3484,3484,10,0.17657425535166918,0.3438581233056792,0.33967518147412573,0.32522861872456116,0.6297221497331267,0.3720898350824246,-0.09942840364680613,-0.07788171610650302,112,"[112,717,167,358,231,271,447,537,133,511]",5ab4cf595f61eedcdc51381bf8797d4aaacab369ab0a617100c41db2c5eb8f5a,A1::SC_d80532f78b6ff2::kmeans::retained::s1::5ab4cf595f61eedc,cross-study ridge over observable candidate and calibration descriptors
D1,LYMPH_NODE,RNA_PROTEIN,3359,3359,10,0.15929852686725016,0.3069003585569587,0.30236269080102357,0.3084420355008096,0.7225733200892768,0.28015365283393934,-0.129577481467625,-0.10686124643035927,80,"[333,103,223,472,270,561,80,628,532,157]",86ca4fdb92379e2896f6f883e37e1d590bd3f738f1e6b8c79fa59c0529f3d684,D1::SC_111d830a61e8e2::gmm_diag::molecular_fused::s0::86ca4fdb92379e28,cross-study ridge over observable candidate and calibration descriptors
MISAR_E15_5_S1,MISAR,RNA_ATAC,1949,1949,7,0.348855256607842,0.5270065266916829,0.5244134524029441,0.4830405349352224,0.9129801254961617,0.0917249674170342,-0.19256852870134844,-0.13979123486487643,71,"[388,613,221,122,305,229,71]",f5a5d7623ba7eeec3beceb1802f66f05846591c5f17b2d0f77c24774b46118f3,MISAR_E15_5_S1::SC_d0ebedf36c9924::kmeans::retained::s2::f5a5d7623ba7eeec,cross-study ridge over observable candidate and calibration descriptors
MISAR_E15_5_S1_K12,MISAR,RNA_ATAC,1949,1949,12,0.2873704718647165,0.5381179580411811,0.5340630882886108,0.4142795324037322,0.8536780157472479,0.14891645436778297,-0.16580582116285109,-0.0605109466785172,69,"[111,103,328,83,90,195,377,107,69,249,90,147]",9ea014be9c60e506228a79c1b7e9ad8d5dc456cccfb949b3d528263169636800,MISAR_E15_5_S1_K12::SC_111d830a61e8e2::gmm_diag::retained::s0::9ea014be9c60e506,cross-study ridge over observable candidate and calibration descriptors
P22,P22,RNA_ATAC,9196,9196,9,0.4401288472306051,0.5770796934474985,0.5763417543117079,0.5251723373997864,0.8614707315616627,0.14126601033096747,-0.15378330705937227,-0.13716315791325095,155,"[620,655,2277,1201,988,918,1692,155,690]",0801355272aad0e55b0a50a4735077aa857cd33af3dca46a26884e13750e39a5,P22::SC_3994dc0c218bbe::kmeans::retained::s2::0801355272aad0e5,cross-study ridge over observable candidate and calibration descriptors
P22_3DOT_K18,P22,RNA_ATAC,9196,9196,18,0.3148149817352919,0.41861011354727345,0.4148818061174926,0.38352287346087865,0.3572234163876752,0.6472383426051272,-0.42487029257945663,-0.33560810002102875,39,"[347,393,360,121,618,341,468,49,440,394,669,1435,1312,411,39,272,204,1323]",84ebd98cf9a677ef4acebefa3b5e8551a5e05fe3cd314d307f2503a497dbe39e,P22_3DOT_K18::SC_f51142ff19b148::kmeans::molecular_fused::s1::84ebd98cf9a677ef,cross-study ridge over observable candidate and calibration descriptors
tonsil_s1,TONSIL,RNA_PROTEIN,4326,4326,4,0.09313440054135937,0.2195562673659129,0.21885794269522765,0.4169295024962626,0.7617864890854381,0.23709254339848673,-0.14308565569779758,-0.09732804067612591,381,"[1528,892,381,1525]",f74a4c57dd78dbf03417b654674484dadb6ce619b79a21820cebeec4bdff05de,tonsil_s1::SC_3eac2d8b6ec9e3::gmm_tied::retained::s0::f74a4c57dd78dbf0,cross-study ridge over observable candidate and calibration descriptors
tonsil_s2,TONSIL,RNA_PROTEIN,4519,4518,4,0.1375092551503792,0.24364663457886135,0.24298338565902783,0.4572983102438892,0.7314060220755958,0.26415603913505675,-0.12005103747341017,-0.0682243956083228,270,"[807,270,2121,1321]",48a838e67b7ae1d73d575ac700d30ba31e0c761f50eabf0ea1b44e950605e84e,tonsil_s2::SC_3eac2d8b6ec9e3::kmeans::view1::s2::48a838e67b7ae1d7,cross-study ridge over observable candidate and calibration descriptors
tonsil_s3,TONSIL,RNA_PROTEIN,4521,4460,4,0.053321504634951604,0.10302509209485201,0.10228015707253155,0.3666843940413935,0.8390554597040467,0.16343957167948034,-0.2965590623768374,-0.20624142715810823,820,"[1308,820,1269,1124]",2e20bd7dddb8608f688a2473b9f0bd120df24f11f872374b3e00c8da95d0672d,tonsil_s3::SC_b74d80c50a56d6::kmeans::molecular_fused::s2::2e20bd7dddb8608f,cross-study ridge over observable candidate and calibration descriptors
