all_start_ari_max,all_start_ari_mean,all_start_ari_median,all_start_ari_min,all_start_nmi_max,all_start_nmi_mean,all_start_nmi_median,all_start_nmi_min,arm,authority_ari,authority_nmi,lane,robustness_ari_max,robustness_ari_mean,robustness_ari_median,robustness_ari_min,robustness_nmi_max,robustness_nmi_mean,robustness_nmi_median,robustness_nmi_min,robustness_seed_count
0.5948372492388294,0.516844542513857,0.511929331761392,0.4827377859459223,0.7157421095103025,0.6487380082137337,0.6402561323198068,0.6262824691142592,DIRECT_BASE,0.5948372492388294,0.7157421095103025,P22_K9,0.5128320733573716,0.5012460011688626,0.5110431447558779,0.4827377859459223,0.6413822708014195,0.6353371879544201,0.6391867421937667,0.6262824691142592,5
0.5957914366194071,0.5144278391487619,0.5134819611297666,0.47399860702412017,0.7173355189450162,0.647187858368987,0.6436974199809109,0.616041145647901,BIMODAL_SUPPORT,0.5957914366194071,0.7173355189450162,P22_K9,0.5136399608152017,0.4981551196546328,0.5134819611297666,0.47399860702412017,0.6438190886107,0.633158326253781,0.6436974199809109,0.616041145647901,5
0.5955221247417235,0.5139030507154363,0.5129094530183294,0.4730375028564582,0.7172607539603376,0.6470934065813446,0.6434156686335283,0.6167236659904833,UNIFORM_MASS_MATCHED,0.5955221247417235,0.7172607539603376,P22_K9,0.5144519726101757,0.49757923591017883,0.5113669334264829,0.4730375028564582,0.64491948962664,0.633059937105546,0.6419118476404166,0.6167236659904833,5
0.5955061787297278,0.5145005173955227,0.5126204638484464,0.47599625203926765,0.7174544110590007,0.6474691115146022,0.6425592597546554,0.6189859164376322,PERMUTED_SUPPORT,0.5955061787297278,0.7174544110590007,P22_K9,0.5138901163683108,0.49829938512868177,0.5113508113285818,0.47599625203926765,0.6437781142261135,0.6334720516057224,0.6413404052831974,0.6189859164376322,5
0.5963767957010206,0.5134162527331145,0.5117568630330038,0.4720519253748116,0.7179263082340664,0.6462251948776264,0.6419386364471853,0.6148347348039397,RNA_ONLY_SUPPORT,0.5963767957010206,0.7179263082340664,P22_K9,0.5129118951340941,0.49682414413953335,0.5106018309319136,0.4720519253748116,0.6429682791145573,0.6318849722063383,0.6409089937798131,0.6148347348039397,5
0.5953597600862288,0.5140827714856583,0.5128905446413345,0.47479972596157083,0.7170389003768891,0.6471347222155089,0.6433867214089841,0.6169450996072021,ATAC_ONLY_SUPPORT,0.5953597600862288,0.7170389003768891,P22_K9,0.5132000829799473,0.4978273737655442,0.5126447894496106,0.47479972596157083,0.6438476542266445,0.6331538865832329,0.6430396585212239,0.6169450996072021,5
0.5353060549066526,0.3907831488117392,0.36185820674032193,0.36185820674032193,0.658264645807069,0.5670081491280096,0.5487716788267134,0.5486975336541353,DIRECT_BASE,0.5353060549066526,0.658264645807069,MISAR_K7,0.3619600110024949,0.36187856759275655,0.36185820674032193,0.36185820674032193,0.5487716788267134,0.5487568497921977,0.5487716788267133,0.5486975336541353,5
0.5383196317857889,0.3928959280673747,0.363993578530582,0.36319376170155776,0.6612012533725864,0.5699239227744053,0.5519097115840923,0.5507673471685475,BIMODAL_SUPPORT,0.5383196317857889,0.6612012533725864,MISAR_K7,0.3641240710933213,0.3638111873236919,0.3638630859678428,0.36319376170155776,0.5521275133600332,0.551668456654769,0.5516919098081515,0.5507673471685475,5
0.540415624523866,0.3927403987116425,0.36323491367338545,0.3630871130524473,0.6637920276332995,0.5694345693322489,0.5507220072443405,0.5502872044695606,UNIFORM_MASS_MATCHED,0.540415624523866,0.6637920276332995,MISAR_K7,0.3633630280274187,0.3632053535491978,0.3631067993193522,0.3630871130524473,0.5507969649323917,0.5505630776720387,0.5506470495562893,0.5502872044695606,5
0.5358217247954974,0.3925240972204425,0.36389339279672045,0.36374928734027595,0.6603770907410952,0.5679242390972994,0.5495929772226777,0.5491578132001231,PERMUTED_SUPPORT,0.5358217247954974,0.6603770907410952,MISAR_K7,0.3640209832572682,0.3638645717054315,0.36376580233617267,0.36374928734027595,0.5496667629970995,0.5494336687685403,0.5495191914482562,0.5491578132001231,5
