bimodal_ari,bimodal_cluster_sizes,bimodal_minus_direct_ari,bimodal_minus_direct_nmi,bimodal_minus_strongest_control_ari,bimodal_minus_strongest_control_nmi,bimodal_nmi,direct_ari,direct_cluster_sizes,direct_nmi,input_ari,input_nmi,k,lane,n_evaluated,n_total,peak_rss_mib,producer_wall_seconds,role,strongest_control_ari,strongest_control_nmi,strongest_mass_matched_control
0.5957914366194071,"[1148, 624, 1481, 801, 1024, 1524, 612, 1816, 166]",0.0009541873805777312,0.001593409434713755,-0.0005853590816135013,-0.0005907892890502087,0.7173355189450162,0.5948372492388294,"[1146, 624, 1483, 791, 1034, 1521, 613, 1820, 164]",0.7157421095103025,0.5959576919633218,0.718005775236186,9,P22_K9,9196,9196,237.96484375,28.74026053212583,DEVELOPMENT_HISTORICAL_LABEL_ASSISTED_START,0.5963767957010206,0.7179263082340664,RNA_ONLY_SUPPORT
0.5383196317857889,"[293, 441, 183, 267, 350, 290, 125]",0.0030135768791362816,0.0029366075655173907,-0.002360387565369715,-0.0024725372851973626,0.6612012533725864,0.5353060549066526,"[293, 446, 182, 267, 351, 285, 125]",0.658264645807069,0.5416365903694235,0.6669488935833198,7,MISAR_K7,1949,1949,111.078125,4.937633426859975,DEVELOPMENT_HISTORICAL_LABEL_ASSISTED_START,0.5406800193511586,0.6636737906577838,RNA_ONLY_SUPPORT
0.5448772370426253,"[51, 857, 212, 823, 113, 411, 33]",0.3773677241535498,0.2910387967882812,0.007725408689903235,0.004460959930728592,0.5577946770986344,0.16750951288907545,"[53, 502, 176, 847, 427, 395, 100]",0.2667558803103532,0.16573368689474696,0.26318984026636744,7,HUMAN_HIPPOCAMPUS_K7,2500,2500,118.85546875,8.920981450006366,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.537151828352722,0.5533337171679058,ATAC_ONLY_SUPPORT
0.2940923271060083,"[529, 304]",0.00044939089063106286,0.0018236847710074167,-0.010292176201722902,-0.006913909201353902,0.1975802176155368,0.29364293621537724,"[533, 300]",0.19575653284452937,0.11909360892192913,0.056992064443579515,2,MELANOMA_TUMOR_K2,833,833,94.01953125,1.750737775117159,FROZEN_INDEPENDENT_TRANSFER,0.3043845033077312,0.2044941268168907,UNIFORM_MASS_MATCHED
