absolute_ari,absolute_nmi,ami,arm,candidate_id,changed_from_initial,cluster_sizes_eval,cluster_sizes_full,evaluator_label_reads,failure,fmi,gearys_c_macro,homogeneity,initial_partition_sha256,k,lane,min_cluster_size_eval,min_cluster_size_full,morans_i_macro,n_evaluated,n_total,neighbor_agreement,partition_sha256,start_id,start_index,start_role,status,study_role,v_measure,wall_seconds
0.5406800193511586,0.6636737906577838,0.661901887189327,RNA_ONLY_SUPPORT,AUTHORITY_STRONG_START__RNA_ONLY_SUPPORT,8,"[293, 439, 183, 267, 352, 290, 125]","[293, 439, 183, 267, 352, 290, 125]",1,,0.6324154490590038,0.07962843484641303,0.7019358444915482,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,MISAR_K7,125,125,0.9223147605252755,1949,1949,0.9370701009805357,fe3347e454bdff1c5f22e18fd2c1d7d272b517fb11abe6dc2afaa07bf69792d9,AUTHORITY_STRONG_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_HISTORICAL_LABEL_ASSISTED_START,0.6636737906577839,0.08750292658805847
0.5383196317857889,0.6612012533725864,0.6594162018850945,ATAC_ONLY_SUPPORT,AUTHORITY_STRONG_START__ATAC_ONLY_SUPPORT,10,"[293, 441, 183, 267, 350, 290, 125]","[293, 441, 183, 267, 350, 290, 125]",1,,0.630466604618717,0.08005549104216113,0.6992753695834513,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,MISAR_K7,125,125,0.9218881923976934,1949,1949,0.936631055173423,ead4425e10d3b31479e8ef2c41d6ad83671f90ea8f5c08c23ac1b6b0a4081b6f,AUTHORITY_STRONG_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_HISTORICAL_LABEL_ASSISTED_START,0.6612012533725864,0.08876060508191586
0.16750951288907545,0.2667558803103532,0.26359330990718594,DIRECT_BASE,NIGHT16E_BYTE_EXACT_UNLABELED_START__DIRECT_BASE,5,"[53, 502, 176, 847, 427, 395, 100]","[53, 502, 176, 847, 427, 395, 100]",1,,0.3442976017310758,0.6061614170053469,0.2622620722424041,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,53,53,0.3872501491470867,2500,2500,0.4742985200196438,6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.26675588031035313,0.11547335423529148
0.5448772370426253,0.5577946770986344,0.5557660205904953,BIMODAL_SUPPORT,NIGHT16E_BYTE_EXACT_UNLABELED_START__BIMODAL_SUPPORT,956,"[51, 857, 212, 823, 113, 411, 33]","[51, 857, 212, 823, 113, 411, 33]",1,,0.6549801608897293,0.2425347517313035,0.5220218191262374,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,33,33,0.749023832084566,2500,2500,0.8931927223709496,38304677a026b0b4064c51e8f4e717eb495f6b0ba8de84bd65ddea829f2d1558,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.5577946770986343,0.17682011798024178
0.5124444651278955,0.5462274080711581,0.5441557981068713,UNIFORM_MASS_MATCHED,NIGHT16E_BYTE_EXACT_UNLABELED_START__UNIFORM_MASS_MATCHED,989,"[51, 820, 250, 824, 113, 411, 31]","[51, 820, 250, 824, 113, 411, 31]",1,,0.6276870805872751,0.2193534353130288,0.5138683366353416,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,31,31,0.7724145027875944,2500,2500,0.9031517566188474,749629d1c238fedef18f76454a433fd8c9702eef6ba06abdda9fdba895ed6e70,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.5462274080711581,0.17243830300867558
0.5116688518683492,0.5450528459768947,0.5429769651904505,PERMUTED_SUPPORT,NIGHT16E_BYTE_EXACT_UNLABELED_START__PERMUTED_SUPPORT,987,"[51, 820, 249, 824, 116, 409, 31]","[51, 820, 249, 824, 116, 409, 31]",1,,0.6270118489126855,0.22285215858319374,0.512972194210552,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,31,31,0.7689752309950598,2500,2500,0.9014768531595724,4436fae004243bbb248a41630256b4f9ec6f7b24415d49b5ff7e6a742ff324eb,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.5450528459768947,0.30562516674399376
0.4966339344442906,0.5361287503727978,0.5340309298098213,RNA_ONLY_SUPPORT,NIGHT16E_BYTE_EXACT_UNLABELED_START__RNA_ONLY_SUPPORT,968,"[51, 795, 246, 822, 141, 410, 35]","[51, 795, 246, 822, 141, 410, 35]",1,,0.6134305388777218,0.23249965357368158,0.5080246411023125,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,35,35,0.759829180336415,2500,2500,0.8940073595922784,8dd3ec303a719bda2d92d65ce9a78c78f127e729e8575d9b2b098679331aefa6,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.5361287503727978,0.19422760047018528
0.537151828352722,0.5533337171679058,0.5512863180559774,ATAC_ONLY_SUPPORT,NIGHT16E_BYTE_EXACT_UNLABELED_START__ATAC_ONLY_SUPPORT,954,"[51, 849, 209, 827, 120, 412, 32]","[51, 849, 209, 827, 120, 412, 32]",1,,0.6487062520597716,0.2411197612364347,0.5183138756586547,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,HUMAN_HIPPOCAMPUS_K7,32,32,0.7504674101231972,2500,2500,0.8930757057673435,6517705bba88aefc7d96fadf59c13a702ee6f05aa14027a921385fa97b39f8e5,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,DEVELOPMENT_ATTRIBUTION_BYTE_EXACT_PARENT_START_AND_PARENT_NUMERICAL_BOUNDARY,0.5533337171679058,0.18228713609278202
0.29364293621537724,0.19575653284452937,0.19500280831624295,DIRECT_BASE,UNLABELED_PARTITION_MEDOID__DIRECT_BASE,225,"[533, 300]","[533, 300]",1,,0.6814933190299829,0.04363989913020608,0.1991353752458922,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,300,300,0.9251986322688023,833,833,0.9798630417428895,85ab4ff2107f294ac87bbabae5c76ac623fc771ac76e02acca95db33185bf45b,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.1957565328445294,0.024706006050109863
0.2940923271060083,0.1975802176155368,0.19682979935811015,BIMODAL_SUPPORT,UNLABELED_PARTITION_MEDOID__BIMODAL_SUPPORT,209,"[529, 304]","[529, 304]",1,,0.6807586121496962,0.10639831439633031,0.2014143388441509,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,304,304,0.8642855586007087,833,833,0.9506228895559369,0d1c9c8157ab5c3e2d2f325678fc22b5d680a511b655d3a7b32dbaba02d08735,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.1975802176155368,0.035003144294023514
0.3043845033077312,0.2044941268168907,0.2037485910264233,UNIFORM_MASS_MATCHED,UNLABELED_PARTITION_MEDOID__UNIFORM_MASS_MATCHED,213,"[533, 300]","[533, 300]",1,,0.6863396526009703,0.08887404718910681,0.20802378386832274,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,300,300,0.8800765921603085,833,833,0.9589904419107886,e8a47e7002be5d2efa7484144714c2f363690a02e82b08aac0ae31ff8ba4bbf3,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.20449412681689072,0.026099884882569313
0.2992154320701891,0.2010081703665467,0.20026017092432397,PERMUTED_SUPPORT,UNLABELED_PARTITION_MEDOID__PERMUTED_SUPPORT,211,"[531, 302]","[531, 302]",1,,0.6835383398080069,0.099170751812779,0.20469521963049087,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,302,302,0.8710938676528304,833,833,0.954106969416033,fc916e09ac0570ef6f2021a9451ea2707a1760298482be916a66650ad751af6d,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.20100817036654667,0.07406414672732353
0.2992154320701891,0.2010081703665467,0.20026017092432397,RNA_ONLY_SUPPORT,UNLABELED_PARTITION_MEDOID__RNA_ONLY_SUPPORT,207,"[531, 302]","[531, 302]",1,,0.6835383398080069,0.10917549588483608,0.20469521963049087,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,302,302,0.8614136081615819,833,833,0.9494770960179723,e4b8c6bda37f2120b71e9695d1da312873d5c1f47865f54e97993dc20a8d2f66,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.20100817036654667,0.034558024257421494
0.30179421378598464,0.20274380440819753,0.20199703108422815,ATAC_ONLY_SUPPORT,UNLABELED_PARTITION_MEDOID__ATAC_ONLY_SUPPORT,212,"[532, 301]","[532, 301]",1,,0.6849363103443363,0.08715525286326122,0.2063534711598,ffbcac1c668827cf45cd4c1ff7807d2447b32ab3b9d1c60e6d7e7e5303fc9305,2,MELANOMA_TUMOR_K2,301,301,0.8806846333018203,833,833,0.9597252027209929,5422ed322b415e0e8eef265048ee8f50acf0cd7270acdfcc97141ebc52cd8bb8,UNLABELED_PARTITION_MEDOID,0,PRIMARY_AUTHORITY_OR_MEDOID,PASS,FROZEN_INDEPENDENT_TRANSFER,0.2027438044081975,0.032327158376574516
