lane,config_id,seeds,strongest_control_ari,strongest_control_nmi,seed_ari,seed_nmi,mean_ari,median_ari,min_ari,std_ari,mean_nmi,median_nmi,min_nmi,std_nmi,dual_win_seed_count
P22_K9,Z01_CONSERVATIVE,"0,1,2",0.3939005260086102,0.5847127109962361,"[0.4816499442278457, 0.48049179863959424, 0.4805237294664283]","[0.6104992867596107, 0.6095026966331418, 0.609690428035403]",0.4808884907779561,0.4805237294664283,0.48049179863959424,0.0005385866762104746,0.6098974704760518,0.609690428035403,0.6095026966331418,0.00043239480355820875,3
MISAR_K7,Z01_CONSERVATIVE,"0,1,2",0.3611133493142985,0.5383578064348719,"[0.36371391381529505, 0.36365282022619144, 0.36374662793287244]","[0.5409742092460456, 0.5411619958836363, 0.5414036527857915]",0.36370445399145296,0.36371391381529505,0.36365282022619144,3.8876622440134345e-05,0.5411799526384912,0.5411619958836363,0.5409742092460456,0.00017577878567689921,3
HUMAN_HIPPOCAMPUS_K7,Z01_CONSERVATIVE,"0,1,2",0.1957367242579947,0.27823448863635836,"[0.20961933782755815, 0.19396393419169655, 0.19578290010059532]","[0.2792051836720784, 0.27256729608478525, 0.26030075432177247]",0.19978872403995002,0.19578290010059532,0.19396393419169655,0.006990845672509512,0.27069107802621206,0.27256729608478525,0.26030075432177247,0.007830900668406091,1
