lane,run_id,arm,config_id,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256,training_seed,evaluator_label_reads
P22_K9,BASELINE__FROZEN_RETAINED,FROZEN_RETAINED_SAME_HEAD,BASELINE,0.3893208525073957,0.5784037483938195,0.5776923150201647,0.47587557030383065,0.8573291745602739,0.8384116403956239,0.16174153243553338,708,"[1009,1491,1232,708,894,1604,711,736,811]",9f4d2239dd47e1d3c735ee2e6e6be9d8f1b0a91dc92be15b6148349f9fb530b9,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,0,1
P22_K9,BASELINE__FULL_BANK_SMOOTH,FULL_BANK_SMOOTH_REFERENCE,BASELINE,0.3937991931056464,0.5846575177192107,0.5839565457229017,0.47978395089014936,0.8703888428060156,0.8523203053878176,0.14786265833635018,705,"[1591,1496,1260,731,715,705,892,805,1001]",a1f29cf43cef9c98c8b423b2835762d048d747f4a719a5639355ec3c216c1c1d,4882ca09328fdadce05ec5221633fc939ae165d07fc56cc7497cd63b252577b1,0,1
P22_K9,BASELINE__UNBIASED_SMOOTH,UNBIASED_SMOOTH_REFERENCE,BASELINE,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,0.8707363913503743,0.8526836847419972,0.1475004784784751,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15,0,1
P22_K9,BASELINE__ZERO_RESIDUAL,ZERO_RESIDUAL_CONTROL,BASELINE,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,0.8707363913503743,0.8526836847419972,0.1475004784784751,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15,0,1
P22_K9,Z01_CONSERVATIVE__UNBIASED_FULL__S0,UNBIASED_FULL,Z01_CONSERVATIVE,0.4816499442278457,0.6104992867596107,0.6098376225342028,0.5570932532447512,0.8802007115384207,0.8532782008745178,0.1470351522610261,718,"[2221,1090,1012,718,745,910,917,763,820]",081eff87514ca87bbcd5847f7b006ed689d2248328b0062703ec7af9d2ef653d,41a0a4240b1cda18dfb167cb5e85863dec58e13f021c4be11d3db82ffc59dc99,0,1
P22_K9,Z01_CONSERVATIVE__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,Z01_CONSERVATIVE,0.48127008787549835,0.6102940888917708,0.6096320124616053,0.5567812504322159,0.8791688323259924,0.8520186441432154,0.1482939071328614,717,"[820,761,744,717,1011,916,2224,912,1091]",4b47e322d5d4a47d4f36820c0a306e55b25d156179f036279334146dc35b1ee7,1e03796c33e920258b24c2ff663f213f5b8e4f98b38f63252a9353576fc761c4,0,1
P22_K9,Z01_CONSERVATIVE__FULL_BANK_SENSITIVITY__S0,FULL_BANK_SENSITIVITY,Z01_CONSERVATIVE,0.4395435633247822,0.5891565014829923,0.5884519300440525,0.5223089742640288,0.890302372006882,0.8612749483738491,0.1391023694934392,489,"[865,2219,1264,489,765,716,753,646,1479]",524851bbf41200d8f7cb0bd05767b54d2bea5d06a051520e39b9f1b7a9492593,2c8229e0a312a37638a1fec85ad2b74d1da04dedd57014128a9b591ac08e2513,0,1
P22_K9,Z01_CONSERVATIVE__PERMUTED_RELATION__S0,PERMUTED_RELATION,Z01_CONSERVATIVE,0.3923849820084918,0.5835342847254942,0.5828311638840344,0.4786148060517183,0.8682743814346601,0.8495925790445669,0.15056094380426,702,"[1507,1608,712,800,882,702,1258,741,986]",62d033a25bb923d41355f1a56e9ad074d175924cc604ccebb39749ccdac6c7bb,710a7faac3428c94342665bc3476b29f252f42153fc081200cdf12123715000f,0,1
P22_K9,Z01_CONSERVATIVE__ONE_RAW_VIEW1_ADAPTER__S0,ONE_RAW_VIEW1_ADAPTER,Z01_CONSERVATIVE,0.4821441354316583,0.6105304245084724,0.6098686895224191,0.5575409471089654,0.879443985972892,0.8520775883697497,0.14825193285428256,716,"[763,918,1112,2222,1015,745,716,813,892]",1b07d9621333a86b3839b394656c6e69b618d2d545130d1150170cf7c8fe5f81,38e5fa713fdedea6cdb7068ecb365bc8686d11853a00379c3e94a4682615f344,0,1
P22_K9,Z01_CONSERVATIVE__ONE_RAW_VIEW2_ADAPTER__S0,ONE_RAW_VIEW2_ADAPTER,Z01_CONSERVATIVE,0.4796636974096999,0.6089474186175687,0.6082832969810115,0.5553413080688321,0.8797227991420807,0.8527579756473611,0.14756712312946602,720,"[920,2212,1004,1094,775,816,720,911,744]",e30b36a121ac0e362cb5b717105b0e1b1df7c296a9055a2dccd3bb68c03a35d8,b731cf6ed1f5de5eb267a677a96ccea72b79f46c4796fa0a78454df1965b812a,0,1
