stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,training_manifest_sha256,transform_manifest_sha256,model_file_sha256,model_tensor_state_sha256,alias_target_config_id
R1,A02_RR10,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u010/attempt_001,4c0cb69dccb9506e38b5d7ea06bf82f9c2a69308df996abdd927c06738f2d357,cc32039f29e7e10aa0cb20258694c6765fcdfa88edf49bf18461ce61458aa0f6,20d712f844f892d8eac95ea6aaef31465e4743d5ebf394249b931845923d5c33,aabc0617572600bd195b9456cbcb6dad74bbf94b48b7795bbf6cd2c0ad487746,
R1,A02_RR10,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A02_RR10/u020/attempt_001,86eb7607824af64566079625d90bdb0c573abb2c12a44854e1752a70dcd1ac30,0e5a412090bec1d5fa03f9a22612e3f9985dffbda1b35237544c86cb3b4e2ba3,65f5c1d49e1725482cddf7073fa1a4d3cb18d867d33eeeb118b59cde67c185b7,15d8ea80d33ae2e254335e8514acaf98e0a02248a934a9a56dcd80af418bcbcb,
R1,A03_RR30,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u000/attempt_001,d2129f09df6b4cd5c18f7e78ec9c917c165ad29b59de0027427ca475f458cb41,788730325b19af06c6603302738db11cd355a613231244077465f3c82d86d193,b43bd22499e49b8ea9e44cce55310af48b76bd3b793631d9348a07cbc17f87bf,bf2c97d233efdc57b9c1863e22c0a6302077f910400f0f1891b183c085df7500,
R1,A03_RR30,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u005/attempt_001,51861fe8c3333018f5961ef3f0a196ea24f9db4b4ebaf449c29e213848134c25,c18009e5f47b723906b0d6e2a3e838ef3a404841f2fdd9c0ce33c115c86d9324,13895255e22f8784e0002e11abc292b05747f9f9692f1b76edc3f50b01c8e24b,b0223aae19d788b0e52e34c984d7c9a8dde1716c8e7cdb6aecdfbd6b17af59b0,
R1,A03_RR30,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u010/attempt_001,bd65b2b06769e5a729e9950ea1d82fde038eb668beee7f77ee3b32d3953ed316,db036b2d35130adc1f2bb8eb936d20157edbf809d3967a22950006b17cd402f3,b288c28cdfa285dcde96b5dc048254ebb20aff70b649c44a6a03e21c8a9ebfaa,062cebef751d2e351bddbf05cd05c877f2902a3418ecc9e4e36d58ebf9f8ea53,
R1,A03_RR30,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A03_RR30/u020/attempt_001,77d6cf34c22d04974af03ea8847827ff2a5ae40f4ce1c39e39990eafa3054868,44c59e37253949ef00a77d52ea2869f73f98720f1dce5db5160491a0041b1e00,506f2e27e7798b53fdaaf9cacf6b817bceb301492d95f3213ccd9292587d7805,1490432c2768a2ab9132d5e413cff62266e5c73d92e068beea00d83f157665ea,
R1,A04_PROTO,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u000/attempt_001,a87bc59ac07d55fe9d7f12c55e436b0b658ad6ae6e6108dd8263e50710ed7eb2,d440a32bf9b930067ce1856180f3a18c763d696a21f51cc81d16090e13bc230b,bee4696cc691e04192ccfa86be77689495d18231f8b4b6a5e6e24b27d07e961a,0de331f95a9af0418bd64f46a471d8a5261fb83e1b92add04f8b37347b5040f0,
R1,A04_PROTO,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u005/attempt_001,283db926deb7cb460cfe703a3abcd6caa25932952815c0eafdc1ff98771622f0,47d902df030a9f836fc7cb93ad5a3333905278ace9c234c3de8b74dd5fa90efe,f954e2ab96b9fbc52f69109ad2d542b84c44981fd37a5ea5e9a34fea9bd4fb7e,b102997ea280044baca435a6818391549f7fc5cefa87a7da9fda2f157b69f107,
R1,A04_PROTO,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u010/attempt_001,92fe73953142fc82668e9e17bc319b28e15499d54d2e3bf142b223e77c9ebea9,19a42a10c9f3efccc53990d220e9615d34d8537203c1d6915c6ff604c10ae6d2,4ed205600045f5a8991aec74829dd74ba380d07c18aa874bbfc98549d138e283,eb2739f7aa1d20509f3c96482766b5191e16ca4bd4fb8b579b9cb5c0ecf3816e,
R1,A04_PROTO,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A04_PROTO/u020/attempt_001,8f93d5ab0d6dc6ed38536a09d9c8ff13d17827875caedaabe903f9a5d624c9b0,f6baf88491ece7a024f3e788acf0c9cbcd3d6ebce95acd4aa380968b3652dbf3,d8c67e1a3ddb617ab0bd217cdbc36471a937bb23c7f0298812c122a303e06aad,40abd35278650905809fb11a9a1df18810b61efd55372feb818145a4a45c69d0,
