dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
a1,locked_unweighted,ari,0.233361423705436,0.03082472045206277,0.23326465692362888,0.1867775164312471,0.26495833398395324,0.2084278320964184,0.2554378299384523,5
a1,locked_unweighted,nmi,0.365397122529837,0.016054442882608492,0.3667075295326137,0.34060590077653197,0.3823409575610802,0.35182978542171106,0.37687081949244,5
a1,locked_unweighted,ami,0.36131602541104335,0.016093437341611984,0.36268940873495853,0.3364649249020625,0.3782466111426877,0.3477147913963391,0.37278380314071424,5
a1,locked_unweighted,fmi,0.37697622311313217,0.031099475432096284,0.3734780341191228,0.33002351596165697,0.4126029852127234,0.3517694256314257,0.399373979079947,5
a1,locked_unweighted,homogeneity,0.41183020427634737,0.013171259567558942,0.41766115734987225,0.39369531729522145,0.4256353743207322,0.400649024860315,0.4215570130684931,5
a1,locked_unweighted,v_measure,0.365397122529837,0.016054442882608475,0.36670752953261365,0.34060590077653197,0.3823409575610801,0.35182978542171106,0.37687081949243995,5
a1,locked_unweighted,hungarian_macro_f1,0.33037424054711373,0.03129466557399469,0.34271499144186224,0.28233885490881044,0.3583090726118845,0.30310496969988854,0.35276422658995654,5
a1,locked_unweighted,hungarian_weighted_f1,0.5014489700782763,0.03883359393747189,0.5132438498184853,0.4379483536442865,0.5330263694366827,0.46737426768495727,0.5277366428988834,5
a1,locked_unweighted,hungarian_balanced_accuracy,0.40092299107306006,0.062044799533141376,0.40522585515563564,0.3143484494461181,0.48851010644847737,0.34918078084659,0.45241217273210027,5
a1,locked_unweighted,spatial_neighbor_agreement,0.6069141472126547,0.03130421113404348,0.6184143385635923,0.5574531190202832,0.6328294425309351,0.5801696644980228,0.6289003699451461,5
a1,locked_unweighted,spatial_cluster_moran_mean,0.5458779246610034,0.03174008831760322,0.5543947246991108,0.5029030420987736,0.5822527203482489,0.519709652491041,0.5696744926628965,5
a1,locked_unweighted,embedding_silhouette,0.11733948290348054,0.015158315669262578,0.12290113419294357,0.09032796323299408,0.12585505843162537,0.10371942967176437,0.12503568679094315,5
