dataset,manuscript_ari,manuscript_nmi,night2c_v3_mean_ari,night2c_v3_mean_nmi,tutorial2022_ari,tutorial2022_nmi,notes
a1,0.2443,0.378,0.2241088730080958,0.3653009343179897,0.2356066350235813,0.3611848472993719,fixed five model seeds; tutorial is separate exact seed-2022 replay
placenta,0.7226,0.7408,0.6635269854564889,0.7238140913798963,0.7143016875942463,0.7395752112514236,fixed five model seeds; tutorial is separate exact seed-2022 replay
p22,0.4541,0.5747,0.4109544383136471,0.5561206411232226,0.4537900321807332,0.5742740925252536,fixed five model seeds; tutorial is separate exact seed-2022 replay
