dataset,variant,variant_code,seed,run_status,ari,nmi,ami,fmi,homogeneity,v_measure,hungarian_macro_f1,hungarian_weighted_f1,hungarian_balanced_accuracy,spatial_neighbor_agreement,spatial_cluster_moran_mean,embedding_silhouette,embedding_davies_bouldin,total_seconds,gpu_peak_allocated_mib
a1,locked_asr_hvg_legacy_scale_diagnostic,V4,0,complete,0.23831792658064857,0.37393556913688725,0.36992195405401984,0.37985165928818215,0.4230802566694923,0.3739355691368872,0.32108210709814666,0.49725527413530685,0.4291695759447248,0.5695401199132543,0.5268806229609895,0.0897497832775116,2.237270579475667,18.21487000398338,355.400390625
a1,locked_asr_hvg_legacy_scale_diagnostic,V4,1,complete,0.21566017992815825,0.36538162932821905,0.36134525687852403,0.35881917541020686,0.41684715227159325,0.36538162932821905,0.322109761380765,0.48473839216086057,0.48124864467728673,0.591354126801888,0.5335778195868421,0.09749922156333923,2.1754344480300274,17.7838900340721,355.400390625
a1,locked_asr_hvg_legacy_scale_diagnostic,V4,2,complete,0.22733603386457646,0.3731227614579027,0.36913878737525,0.36861599494840847,0.42601101972102895,0.3731227614579027,0.3403521766242342,0.4951400544179844,0.39333318469525214,0.5929646638601862,0.5483549424003076,0.11304105073213577,2.2569702548781905,19.888214636128396,355.40283203125
a1,locked_asr_hvg_legacy_scale_diagnostic,V4,3,complete,0.23260540036150498,0.3624157727729685,0.3583325303043456,0.3758321143916132,0.4104850962879638,0.36241577277296844,0.35670726788604784,0.5075293445285607,0.4994671094222777,0.600778160479653,0.5452514863041487,0.0985700860619545,2.262978414149315,18.06085933279246,355.4013671875
a1,locked_asr_hvg_legacy_scale_diagnostic,V4,4,complete,0.19870792095079176,0.34484753211235913,0.3407291194804958,0.34090321443593496,0.39819652186370724,0.34484753211235913,0.2908430844335027,0.4447642084927862,0.34013706448368597,0.5891216991963261,0.5402376579935951,0.1176423728466034,2.029697366124679,18.427789208013564,355.40185546875
a1,locked_legacy_loss_replay,V3,0,complete,0.24143979861654297,0.3778464123879884,0.37385413860690564,0.3833890605745272,0.4272573180768168,0.3778464123879884,0.3319275041387124,0.5083456289771412,0.4102381332647189,0.5799528001020539,0.5128129890372726,0.10190641134977341,2.128793214159739,16.306281300727278,355.400390625
a1,locked_legacy_loss_replay,V3,1,complete,0.20582059611388304,0.3601213969177451,0.3559833213576721,0.35454838628974134,0.403624072230804,0.3601213969177451,0.3244473568004237,0.4651759442152421,0.3864843860165302,0.5570544712335758,0.49054698752843445,0.11362727731466293,2.010386962320532,18.094422169029713,355.400390625
a1,locked_legacy_loss_replay,V3,2,complete,0.23464929653600752,0.3770495114891117,0.3730924128537762,0.3748838435625211,0.4307208092038044,0.3770495114891117,0.3437781092916853,0.5113873435473987,0.388061771301617,0.5870008929710422,0.5481962912029706,0.10894876718521118,2.2671533008259876,15.328415904659778,355.40283203125
a1,locked_legacy_loss_replay,V3,3,complete,0.2192966261645103,0.3608636191358879,0.35667877367318285,0.37041189434629124,0.399183854834089,0.3608636191358879,0.33775421278812406,0.4851204262753988,0.4044389042066666,0.6315059318790662,0.5642017769694326,0.07667078822851181,1.9472455831426423,16.386057851370424,355.4013671875
a1,locked_legacy_loss_replay,V3,4,complete,0.21933804760953524,0.35062373165921523,0.3464467306933058,0.3640129072061684,0.3949109765402138,0.35062373165921523,0.30900244905707624,0.4814849534448755,0.3711830098528202,0.6049719351958158,0.5523111497846152,0.12180556356906891,1.8044783205274508,15.563287750817835,355.40185546875
a1,locked_legacy_shape_normalized,V2,0,complete,0.23365995048140598,0.36738487301748146,0.3633720677129874,0.37376679050066547,0.4203005435223649,0.3673848730174816,0.3173330711906748,0.4935115936625426,0.4079713888623825,0.5558744737849215,0.5019339050032688,0.12612520158290863,1.9817644712169264,15.72995127318427,355.39990234375
a1,locked_legacy_shape_normalized,V2,1,complete,0.22242105570939436,0.3635495658423108,0.35947974566544816,0.36594371102939066,0.4126056583052108,0.36354956584231074,0.3108818579821809,0.49236537560380095,0.345830329270576,0.5764765914019645,0.5268220206541899,0.09872815757989883,2.2410437477459326,15.186860735993832,355.39990234375
a1,locked_legacy_shape_normalized,V2,2,complete,0.2569970805915308,0.3761171994047355,0.37211845074111755,0.3960980790365734,0.425740617301408,0.3761171994047355,0.3518230918226735,0.5330149308690979,0.38824335629753354,0.6334194412552622,0.5828520798434645,0.12457654625177383,1.9825819140765462,15.979720110073686,355.40234375
a1,locked_legacy_shape_normalized,V2,3,complete,0.2652170446939488,0.3825404347754391,0.3784480648636833,0.41277123932288784,0.4179716551288099,0.38254043477543903,0.35813043482118484,0.5300092271376137,0.48864290857331144,0.6293532338308457,0.5532041113109887,0.09036359190940857,2.0007384089192763,16.498656464274973,355.40087890625
a1,locked_legacy_shape_normalized,V2,4,complete,0.19067079961345365,0.33652373158782944,0.3323585132201952,0.33339273326407665,0.3891062693232796,0.33652373158782944,0.2847425294309202,0.4441315429342115,0.30628367677124874,0.6147148871029467,0.560146112104275,0.13140100240707397,1.8917001501426778,23.135660361964256,355.4013671875
a1,locked_uniform_legacy_scale,V1,0,complete,0.23560375684051066,0.3701677092695732,0.36617291561197096,0.37545918409195417,0.42351185760658,0.37016770926957326,0.3204953213862978,0.49673159436395997,0.4189951067205679,0.5560179869881362,0.49764688758265885,0.12370959669351578,2.0077928617490386,18.999599593225867,355.41162109375
a1,locked_uniform_legacy_scale,V1,1,complete,0.22258282899170845,0.3686965732796056,0.364676631177681,0.36517313735031687,0.4201446269819553,0.3686965732796056,0.32324582912837024,0.49774582146592367,0.40399986446713365,0.5765403750478377,0.517524019674762,0.10961917042732239,2.1814824232758996,15.114868062082678,355.41162109375
a1,locked_uniform_legacy_scale,V1,2,complete,0.26752687782695367,0.38321800728823124,0.3792645721347917,0.40512253250942615,0.43380326885046666,0.3832180072882312,0.35336983327714744,0.5420100724934872,0.3902064293648575,0.6181432580686312,0.5592358751623302,0.13334737718105316,1.99962914179348,15.383135140873492,355.4140625
