dataset,metric,contrast,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n,exact_32_sign_flip_two_sided_p
a1,ari,uniform_scale_effect,-0.003595983113500878,0.02142263168315594,0.002339099916881776,-0.04048000119581199,0.011857890081114542,-0.02262738159142494,0.009420162186458386,5,0.9375
a1,ari,legacy_shape_effect,0.0004317625125107083,0.002242822900749999,0.0002587107099955577,-0.002381643078593343,0.003893283182206553,-0.0013255015631577828,0.0024136622591128865,5,0.625
a1,ari,scale_at_legacy_shape,-0.00968431320985091,0.028710151000279842,-0.01660045959551132,-0.04592041852943851,0.028667247996081585,-0.030627372953086984,0.014286761613571692,5,0.5
a1,ari,legacy_shape_at_full_scale,-0.005656567583839323,0.020563516442864718,-0.005181706623630961,-0.032877581290946145,0.020702641097173596,-0.021911786994926307,0.010236346437945538,5,0.625
a1,ari,factorial_scale_main,-0.006640148161675893,0.023481258798770267,-0.005912409314466377,-0.04320020986262525,0.020262569038598063,-0.026790264051552333,0.011140712031044855,5,0.625
a1,ari,factorial_shape_main,-0.002612402535664307,0.011122625003089923,-0.0024614979568177014,-0.016442206549889232,0.012297962139690075,-0.011156577992194475,0.006087523221553109,5,0.6875
a1,ari,interaction,-0.006088330096350031,0.018998046696509303,-0.005440417333626518,-0.032870749482113826,0.016809357914967044,-0.021510418005463668,0.008297646432784855,5,0.625
a1,ari,asr_vs_uniform_same_scale,-0.0072399482547991275,0.019200025767355505,7.251443843012129e-05,-0.04019084396237721,0.008127067573363733,-0.024085500602054277,0.004350997813086682,5,0.75
a1,ari,asr_vs_legacy_same_scale,-0.0015833806709598052,0.013695231199075626,-0.0031218720358943963,-0.020630126658743475,0.013308774196994694,-0.011872811766677255,0.008634968797329085,5,0.8125
a1,nmi,uniform_scale_effect,0.0003268644513336638,0.011953710666076964,0.004427821952024513,-0.020837035221193068,0.0073179048674775204,-0.01035709500104397,0.006718906705955851,5,1.0
a1,nmi,legacy_shape_effect,-0.00017396160427781692,0.0023319134002050264,0.00019947721435886745,-0.004082169188702522,0.0021708974301827277,-0.002280904208667145,0.0013823293438531836,5,1.0
a1,nmi,scale_at_legacy_shape,7.77733924304025e-05,0.014059955981261274,0.0009323120843762189,-0.021676815639551206,0.014100000071385788,-0.01159941529454248,0.010011078193632329,5,1.0
a1,nmi,legacy_shape_at_full_scale,-0.00042305266318107824,0.007094184095093299,-0.0006403032039992707,-0.008575176361860504,0.0076787031184151755,-0.0060255295051918735,0.005179424178829717,5,0.8125
a1,nmi,factorial_scale_main,0.00020231892188203316,0.012313703423243021,0.004098881502888035,-0.021256925430372137,0.00926391101170515,-0.010973009753185459,0.007339492112060914,5,1.0
a1,nmi,factorial_shape_main,-0.0002985071337294476,0.0030369632191563924,-0.0002204129948202016,-0.003202139465838888,0.004178023301641465,-0.0025257089375426865,0.0020572126790589563,5,0.9375
a1,nmi,interaction,-0.00024909105890326134,0.008639326002890847,-0.0008397804183581381,-0.010746073792043231,0.009672178119361274,-0.006999641135298373,0.006501459017491851,5,0.875
a1,nmi,asr_vs_uniform_same_scale,-0.0017833340195034131,0.005293022453844204,-0.0001861906161973459,-0.010095245830328559,0.0037678598673140384,-0.0061316237446760735,0.0018346459969186824,5,0.6875
a1,nmi,asr_vs_legacy_same_scale,-0.0013602813563223348,0.004607220990762668,-0.003910843251101137,-0.005776199546856098,0.005260232410473964,-0.004663348481446272,0.0026812201674586977,5,0.5625
a1,ami,uniform_scale_effect,0.00035282099948604764,0.012025787645801344,0.0044513884661843695,-0.02093281138273112,0.007450949506403848,-0.010400771148124044,0.006795086108022696,5,1.0
a1,ami,legacy_shape_effect,-0.00016065697035704262,0.002363693270594654,0.00020145372099561465,-0.004106411681867261,0.002254063994170996,-0.0022943251861372695,0.0014330198849008436,5,1.0
a1,ami,scale_at_legacy_shape,5.570699628217879e-05,0.01410152287451,0.0009739621126586551,-0.021769291190500473,0.014088217473110565,-0.011664445397071854,0.010022907769343248,5,1.0
a1,ami,legacy_shape_at_full_scale,-0.00045777097356091144,0.007117081127713513,-0.0006350260867737378,-0.008693309820008932,0.007681222994934678,-0.00607319285776452,0.005157650910642697,5,0.8125
a1,ami,factorial_scale_main,0.0002042639978841132,0.012363427648295676,0.004142516821609682,-0.021351051286615796,0.009269802969647467,-0.011018620475013636,0.007353892078744323,5,1.0
a1,ami,factorial_shape_main,-0.00030921397195897703,0.003039412788924632,-0.0002167861828890616,-0.003219622912918968,0.00418194098648178,-0.002532648230571188,0.002050844241795341,5,0.9375
