dataset,variant,seed,epoch,raw_rna_reconstruction,weighted_rna_before_global_scale,global_scale_multiplier,final_rna_loss,final_rna_contribution,raw_modality2_reconstruction,final_modality2_contribution,raw_corr1,final_corr1_contribution,raw_corr2,final_corr2_contribution,total_loss,m_bad,gene_weight_mean,gene_weight_min,gene_weight_max,cross_omics_rna_attention,rna_spatial_attention,modality2_spatial_attention
a1,locked_asr_hvg_legacy_scale_diagnostic,0,0,1.0024996995925903,1.0025008916854858,2.28993821144104,2.2956650257110596,4.3617634773254395,1.1005702018737793,2.7514255046844482,0.1522110104560852,0.2283165156841278,0.21836510300636292,2.1836509704589844,9.525156021118164,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5134401917457581,0.4999057352542877,0.49350428581237793
a1,locked_asr_hvg_legacy_scale_diagnostic,0,20,1.0015647411346436,1.001587152481079,2.28993821144104,2.2935726642608643,4.3577880859375,0.9678882956504822,2.4197206497192383,0.11195104569196701,0.16792656481266022,0.0878443568944931,0.8784435987472534,7.823879241943359,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5051979422569275,0.49965864419937134,0.4922312796115875
a1,locked_asr_hvg_legacy_scale_diagnostic,0,100,1.0006083250045776,1.0007059574127197,2.28993821144104,2.2915549278259277,4.353954315185547,0.844025194644928,2.110063076019287,0.11510995775461197,0.17266494035720825,0.04816240444779396,0.481624037027359,7.118306636810303,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5060458779335022,0.4981933832168579,0.4965565800666809
a1,locked_asr_hvg_legacy_scale_diagnostic,0,199,0.9966617822647095,0.9969080686569214,2.28993821144104,2.282857894897461,4.337430000305176,0.7806304097175598,1.9515759944915771,0.11194313317537308,0.16791470348834991,0.038951575756073,0.38951575756073,6.846436977386475,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5317659974098206,0.4991218149662018,0.5024961829185486
a1,locked_asr_hvg_legacy_scale_diagnostic,1,0,1.0018177032470703,1.0018259286880493,2.28993821144104,2.294119358062744,4.358826637268066,1.1145015954971313,2.7862539291381836,0.12712815403938293,0.1906922310590744,0.24371123313903809,2.437112331390381,9.7728853225708,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.4981207847595215,0.5001968741416931,0.5003342032432556
a1,locked_asr_hvg_legacy_scale_diagnostic,1,20,1.0015116930007935,1.0015265941619873,2.28993821144104,2.293433904647827,4.357524394989014,0.9794635772705078,2.4486589431762695,0.11231893301010132,0.16847839951515198,0.08625701814889908,0.8625701665878296,7.8372321128845215,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.491994708776474,0.498942494392395,0.4989718496799469
a1,locked_asr_hvg_legacy_scale_diagnostic,1,100,1.001189112663269,1.001253604888916,2.28993821144104,2.292808771133423,4.35633659362793,0.8547846674919128,2.1369616985321045,0.11702913790941238,0.17554371058940887,0.045764997601509094,0.45764997601509094,7.126492500305176,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.48827046155929565,0.49754735827445984,0.5019137263298035
a1,locked_asr_hvg_legacy_scale_diagnostic,1,199,0.998210608959198,0.9984000325202942,2.28993821144104,2.2862744331359863,4.343921184539795,0.7916672825813293,1.979168176651001,0.11247934401035309,0.16871902346611023,0.03758173808455467,0.3758173882961273,6.867625713348389,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5081060528755188,0.4988342821598053,0.5070409178733826
a1,locked_asr_hvg_legacy_scale_diagnostic,2,0,1.0022382736206055,1.0022281408309937,2.28993821144104,2.2950406074523926,4.36057710647583,1.1568686962127686,2.892171859741211,0.136939138174057,0.2054087072610855,0.1959286630153656,1.9592866897583008,9.417444229125977,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5006076693534851,0.4997550845146179,0.4980756640434265
a1,locked_asr_hvg_legacy_scale_diagnostic,2,20,1.0014910697937012,1.0014824867248535,2.28993821144104,2.293333053588867,4.357332706451416,0.9613935947418213,2.4034838676452637,0.13289842009544373,0.1993476301431656,0.07468560338020325,0.7468560338020325,7.707020282745361,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.49065446853637695,0.5005497932434082,0.4960257411003113
a1,locked_asr_hvg_legacy_scale_diagnostic,2,100,1.0007522106170654,1.0007926225662231,2.28993821144104,2.2917532920837402,4.354331016540527,0.8446403741836548,2.111600875854492,0.11936055123806,0.1790408194065094,0.040043484419584274,0.40043485164642334,7.045407772064209,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.4850568175315857,0.4998369514942169,0.4999304711818695
a1,locked_asr_hvg_legacy_scale_diagnostic,2,199,0.9974648952484131,0.9976415038108826,2.28993821144104,2.2845373153686523,4.340620994567871,0.7837066054344177,1.9592665433883667,0.11458760499954224,0.17188140749931335,0.03270300105214119,0.3270300030708313,6.79879903793335,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5012304782867432,0.5003398060798645,0.5058078169822693
a1,locked_asr_hvg_legacy_scale_diagnostic,3,0,1.001896619796753,1.0019010305404663,2.28993821144104,2.2942914962768555,4.359153747558594,1.1018378734588623,2.7545948028564453,0.13628514111042023,0.20442771911621094,0.2118832916021347,2.11883282661438,9.43700885772705,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.49836114048957825,0.49929341673851013,0.5041368007659912
a1,locked_asr_hvg_legacy_scale_diagnostic,3,20,1.0012969970703125,1.0013067722320557,2.28993821144104,2.2929306030273438,4.356567859649658,0.9571175575256348,2.392793893814087,0.10871129482984543,0.16306693851947784,0.08619437366724014,0.8619437217712402,7.774372577667236,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.4973318576812744,0.4991936981678009,0.5019912123680115
a1,locked_asr_hvg_legacy_scale_diagnostic,3,100,1.000451683998108,1.0005452632904053,2.28993821144104,2.291186809539795,4.353254795074463,0.8409592509269714,2.102398157119751,0.11555232107639313,0.1733284890651703,0.04255565255880356,0.4255565404891968,7.054538249969482,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.49401286244392395,0.49648308753967285,0.49990978837013245
a1,locked_asr_hvg_legacy_scale_diagnostic,3,199,0.9964263439178467,0.9966855049133301,2.28993821144104,2.282348155975342,4.336461544036865,0.7816163301467896,1.954040765762329,0.11055552959442139,0.16583329439163208,0.034752193838357925,0.34752193093299866,6.803857803344727,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5162675976753235,0.4979621469974518,0.5021220445632935
a1,locked_asr_hvg_legacy_scale_diagnostic,4,0,1.0019522905349731,1.0019593238830566,2.28993821144104,2.2944250106811523,4.359407424926758,1.0681930780410767,2.670482635498047,0.12121021002531052,0.18181531131267548,0.20882032811641693,2.088203191757202,9.299908638000488,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.48270219564437866,0.5005794167518616,0.5032573342323303
a1,locked_asr_hvg_legacy_scale_diagnostic,4,20,1.0015486478805542,1.0015690326690674,2.28993821144104,2.2935311794281006,4.3577094078063965,0.9604886174201965,2.401221513748169,0.10294738411903381,0.15442107617855072,0.0769689679145813,0.769689679145813,7.683041572570801,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.4779627323150635,0.5014899373054504,0.5008848905563354
a1,locked_asr_hvg_legacy_scale_diagnostic,4,100,1.0007587671279907,1.0008612871170044,2.28993821144104,2.291910409927368,4.3546295166015625,0.8321533799171448,2.080383539199829,0.11431112140417099,0.1714666783809662,0.03943023085594177,0.3943023085594177,7.000782012939453,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.4867875874042511,0.5013447999954224,0.5007022619247437
a1,locked_asr_hvg_legacy_scale_diagnostic,4,199,0.9964267611503601,0.9966946244239807,2.28993821144104,2.2823691368103027,4.336501121520996,0.7680018544197083,1.9200046062469482,0.11078450083732605,0.16617675125598907,0.031888507306575775,0.31888508796691895,6.741567611694336,2.28993821144104,1.187049150466919,1.0001107454299927,1.6158567667007446,0.5189763307571411,0.5023179054260254,0.5052879452705383
a1,locked_legacy_loss_replay,0,0,1.0024996995925903,1.0027148723602295,2.28993821144104,2.2961552143096924,4.36269474029541,1.1005702018737793,2.7514255046844482,0.1522110104560852,0.2283165156841278,0.21836510300636292,2.1836509704589844,9.526087760925293,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5134401917457581,0.4999057352542877,0.49350428581237793
a1,locked_legacy_loss_replay,0,20,1.001559853553772,1.0017492771148682,2.28993821144104,2.2939438819885254,4.358493328094482,0.967941164970398,2.4198529720306396,0.11198347061872482,0.16797520220279694,0.08784940093755722,0.8784940242767334,7.82481575012207,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5052309036254883,0.49966320395469666,0.49223029613494873
a1,locked_legacy_loss_replay,0,100,1.0006521940231323,1.0002180337905884,2.28993821144104,2.2904374599456787,4.351830959320068,0.843851625919342,2.1096291542053223,0.11537634581327438,0.17306451499462128,0.04817293584346771,0.4817293584346771,7.1162543296813965,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5059431791305542,0.4982016682624817,0.49655264616012573
a1,locked_legacy_loss_replay,0,199,0.9970414638519287,0.9953327178955078,2.28993821144104,2.279250144958496,4.330574989318848,0.7802563905715942,1.9506409168243408,0.11251744627952576,0.16877616941928864,0.038961004465818405,0.38961005210876465,6.839601516723633,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5317287445068359,0.4992499351501465,0.5024899840354919
a1,locked_legacy_loss_replay,1,0,1.0018177032470703,1.001871109008789,2.28993821144104,2.2942230701446533,4.359023571014404,1.1145015954971313,2.7862539291381836,0.12712815403938293,0.1906922310590744,0.24371123313903809,2.437112331390381,9.773082733154297,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.4981207847595215,0.5001968741416931,0.5003342032432556
a1,locked_legacy_loss_replay,1,20,1.0015076398849487,1.0015426874160767,2.28993821144104,2.293471097946167,4.357594966888428,0.9794945120811462,2.4487361907958984,0.11227306723594666,0.16840960085391998,0.0862630158662796,0.8626301288604736,7.837370872497559,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.4920448660850525,0.49894458055496216,0.49897149205207825
a1,locked_legacy_loss_replay,1,100,1.0012178421020508,1.0006572008132935,2.28993821144104,2.291443347930908,4.3537421226501465,0.8545434474945068,2.1363587379455566,0.1173892617225647,0.17608389258384705,0.04577051103115082,0.4577051103115082,7.123889923095703,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.48822498321533203,0.49758031964302063,0.5019147396087646
a1,locked_legacy_loss_replay,1,199,0.9984579086303711,0.9966984391212463,2.28993821144104,2.2823777198791504,4.336517810821533,0.791183352470398,1.9779584407806396,0.11318645626306534,0.1697796881198883,0.037588931620121,0.37588930130004883,6.860145092010498,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.507876455783844,0.4989505410194397,0.5070491433143616
a1,locked_legacy_loss_replay,2,0,1.0022382736206055,1.0024046897888184,2.28993821144104,2.2954447269439697,4.361344814300537,1.1568686962127686,2.892171859741211,0.136939138174057,0.2054087072610855,0.1959286630153656,1.9592866897583008,9.418211936950684,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5006076693534851,0.4997550845146179,0.4980756640434265
a1,locked_legacy_loss_replay,2,20,1.0014914274215698,1.0014690160751343,2.28993821144104,2.293302297592163,4.357274532318115,0.9613886475563049,2.4034717082977295,0.13293257355690002,0.19939886033535004,0.07469569146633148,0.7469569444656372,7.707101821899414,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.4906786382198334,0.5005486011505127,0.4960261881351471
a1,locked_legacy_loss_replay,2,100,1.0007803440093994,1.0001404285430908,2.28993821144104,2.290259838104248,4.351493835449219,0.8443207740783691,2.110801935195923,0.11991041153669357,0.17986561357975006,0.040056876838207245,0.40056878328323364,7.042730331420898,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.485007107257843,0.4998723566532135,0.4999338984489441
a1,locked_legacy_loss_replay,2,199,0.9977326393127441,0.995923638343811,2.28993821144104,2.2806034088134766,4.333146572113037,0.7831768989562988,1.957942247390747,0.11544347554445267,0.1731652170419693,0.032719653099775314,0.32719653844833374,6.7914509773254395,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5012394189834595,0.5004613995552063,0.5058148503303528
a1,locked_legacy_loss_replay,3,0,1.001896619796753,1.0020313262939453,2.28993821144104,2.2945897579193115,4.359720706939697,1.1018378734588623,2.7545948028564453,0.13628514111042023,0.20442771911621094,0.2118832767009735,2.11883282661438,9.437576293945312,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.49836114048957825,0.49929341673851013,0.5041368007659912
a1,locked_legacy_loss_replay,3,20,1.0012941360473633,1.001421332359314,2.28993821144104,2.2931933403015137,4.357067108154297,0.957129180431366,2.3928229808807373,0.10874022543430328,0.16311034560203552,0.08619584888219833,0.8619585037231445,7.774959087371826,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.49734020233154297,0.4991963803768158,0.5019915103912354
a1,locked_legacy_loss_replay,3,100,1.0005043745040894,0.9999090433120728,2.28993821144104,2.2897298336029053,4.350486755371094,0.8406983017921448,2.101745843887329,0.11591450124979019,0.17387175559997559,0.042564667761325836,0.42564666271209717,7.051751136779785,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.49412548542022705,0.49649009108543396,0.49991247057914734
a1,locked_legacy_loss_replay,3,199,0.9968389272689819,0.9949972033500671,2.28993821144104,2.27848219871521,4.329116344451904,0.7812380194664001,1.9530950784683228,0.1111278384923935,0.16669175028800964,0.03476032614707947,0.3476032614707947,6.796506404876709,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5165897011756897,0.4980503022670746,0.5021308660507202
a1,locked_legacy_loss_replay,4,0,1.0019522905349731,1.001922845840454,2.28993821144104,2.2943413257598877,4.359248638153076,1.0681930780410767,2.670482635498047,0.12121021002531052,0.18181531131267548,0.20882032811641693,2.088203191757202,9.299749374389648,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.48270219564437866,0.5005794167518616,0.5032573342323303
a1,locked_legacy_loss_replay,4,20,1.0015491247177124,1.0015491247177124,2.28993821144104,2.293485403060913,4.357622146606445,0.9605103135108948,2.401275873184204,0.10294023156166077,0.15441034734249115,0.07697014510631561,0.7697014808654785,7.683009624481201,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.47796833515167236,0.5014899969100952,0.5008848309516907
a1,locked_legacy_loss_replay,4,100,1.0008248090744019,1.0000429153442383,2.28993821144104,2.29003643989563,4.35106897354126,0.831828236579895,2.0795705318450928,0.11477364599704742,0.17216047644615173,0.03944200277328491,0.3944200277328491,6.997220039367676,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.4867653250694275,0.5013519525527954,0.5006993412971497
a1,locked_legacy_loss_replay,4,199,0.9968816637992859,0.9947272539138794,2.28993821144104,2.2778642177581787,4.32794189453125,0.7675362825393677,1.9188406467437744,0.11145370453596115,0.16718055307865143,0.031904298812150955,0.31904298067092896,6.733006000518799,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5189944505691528,0.5024621486663818,0.5052828192710876
a1,locked_legacy_shape_normalized,0,0,1.0024996995925903,1.0027148723602295,1.0,1.0027148723602295,1.905158281326294,1.1005702018737793,2.7514255046844482,0.1522110104560852,0.2283165156841278,0.21836510300636292,2.1836509704589844,7.068551063537598,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5134401917457581,0.4999057352542877,0.49350428581237793
a1,locked_legacy_shape_normalized,0,20,1.0016266107559204,1.0018404722213745,1.0,1.0018404722213745,1.9034968614578247,0.967745840549469,2.4193646907806396,0.11213956028223038,0.16820934414863586,0.08781041204929352,0.8781040906906128,5.369175434112549,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5051465034484863,0.4996791183948517,0.49222978949546814
a1,locked_legacy_shape_normalized,0,100,1.001800775527954,1.0017637014389038,1.0,1.0017637014389038,1.9033509492874146,0.8433399200439453,2.1083498001098633,0.11564863473176956,0.17347295582294464,0.0481489859521389,0.4814898669719696,4.66666316986084,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5054295659065247,0.49834179878234863,0.4965590238571167
a1,locked_legacy_shape_normalized,0,199,1.0002449750900269,0.9993264675140381,1.0,0.9993264675140381,1.8987202644348145,0.7804450392723083,1.9511126279830933,0.11147760599851608,0.16721640527248383,0.038926802575588226,0.38926804065704346,4.406317234039307,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.5312529802322388,0.49941420555114746,0.502507209777832
a1,locked_legacy_shape_normalized,1,0,1.0018177032470703,1.001871109008789,1.0,1.001871109008789,1.9035550355911255,1.1145015954971313,2.7862539291381836,0.12712815403938293,0.1906922310590744,0.24371123313903809,2.437112331390381,7.31761360168457,2.28993821144104,2.28993821144104,1.0027731657028198,5.62070894241333,0.4981207847595215,0.5001968741416931,0.5003342032432556
