dataset,metric,contrast,seed,paired_delta
a1,ami,legacy_shape_effect,2,0.0001649501368865547
a1,ami,scale_at_legacy_shape,2,0.0009739621126586551
a1,ami,legacy_shape_at_full_scale,2,-0.006172159281015499
a1,ami,factorial_scale_main,2,0.004142516821609682
a1,ami,factorial_shape_main,2,-0.003003604572064472
a1,ami,interaction,2,-0.006337109417902054
a1,ami,asr_vs_uniform_same_scale,2,-0.010125784759541678
a1,ami,asr_vs_legacy_same_scale,2,-0.003953625478526179
a1,ami,uniform_scale_effect,3,-0.02093281138273112
a1,ami,legacy_shape_effect,3,0.00020145372099561465
a1,ami,scale_at_legacy_shape,3,-0.021769291190500473
a1,ami,legacy_shape_at_full_scale,3,-0.0006350260867737378
a1,ami,factorial_scale_main,3,-0.021351051286615796
a1,ami,factorial_shape_main,3,-0.0002167861828890616
a1,ami,interaction,3,-0.0008364798077693525
a1,ami,asr_vs_uniform_same_scale,3,0.0010187305443890016
a1,ami,asr_vs_legacy_same_scale,3,0.0016537566311627394
a1,ami,uniform_scale_effect,4,0.0044513884661843695
a1,ami,legacy_shape_effect,4,-0.004106411681867261
a1,ami,scale_at_legacy_shape,4,0.014088217473110565
a1,ami,legacy_shape_at_full_scale,4,0.005530417325058934
a1,ami,factorial_scale_main,4,0.009269802969647467
a1,ami,factorial_shape_main,4,0.0007120028215958363
a1,ami,interaction,4,0.009636829006926195
a1,ami,asr_vs_uniform_same_scale,4,-0.00018719388775106927
a1,ami,asr_vs_legacy_same_scale,4,-0.005717611212810003
a1,fmi,uniform_scale_effect,0,0.0019811499728313864
a1,fmi,legacy_shape_effect,0,0.00028875638154268746
a1,fmi,scale_at_legacy_shape,0,0.009622270073861738
a1,fmi,legacy_shape_at_full_scale,0,0.00792987648257304
a1,fmi,factorial_scale_main,0,0.005801710023346562
a1,fmi,factorial_shape_main,0,0.0041093164320578635
a1,fmi,interaction,0,0.007641120101030352
a1,fmi,asr_vs_uniform_same_scale,0,0.004392475196227985
a1,fmi,asr_vs_legacy_same_scale,0,-0.0035374012863450544
a1,fmi,uniform_scale_effect,1,-0.007536715375088043
a1,fmi,legacy_shape_effect,1,-0.0067661416960142495
a1,fmi,scale_at_legacy_shape,1,-0.011395324739649326
a1,fmi,legacy_shape_at_full_scale,1,-0.010624751060575532
a1,fmi,factorial_scale_main,1,-0.009466020057368685
a1,fmi,factorial_shape_main,1,-0.008695446378294891
a1,fmi,interaction,1,-0.003858609364561283
a1,fmi,asr_vs_uniform_same_scale,1,-0.006353961940110009
a1,fmi,asr_vs_legacy_same_scale,1,0.0042707891204655235
a1,fmi,uniform_scale_effect,2,0.00905580496267322
a1,fmi,legacy_shape_effect,2,3.1351489820474754e-05
a1,fmi,scale_at_legacy_shape,2,-0.021214235474052323
a1,fmi,legacy_shape_at_full_scale,2,-0.030238688946905068
a1,fmi,factorial_scale_main,2,-0.006079215255689552
a1,fmi,factorial_shape_main,2,-0.015103668728542297
a1,fmi,interaction,2,-0.030270040436725543
a1,fmi,asr_vs_uniform_same_scale,2,-0.03650653756101768
a1,fmi,asr_vs_legacy_same_scale,2,-0.006267848614112614
a1,fmi,uniform_scale_effect,3,-0.03684139912708506
a1,fmi,legacy_shape_effect,3,0.00016825411016441194
a1,fmi,scale_at_legacy_shape,3,-0.0423593449765966
a1,fmi,legacy_shape_at_full_scale,3,-0.005349691739347129
a1,fmi,factorial_scale_main,3,-0.03960037205184083
a1,fmi,factorial_shape_main,3,-0.0025907188145913584
a1,fmi,interaction,3,-0.005517945849511541
a1,fmi,asr_vs_uniform_same_scale,3,7.052830597481519e-05
a1,fmi,asr_vs_legacy_same_scale,3,0.005420220045321944
a1,fmi,uniform_scale_effect,4,0.010826250884493682
a1,fmi,legacy_shape_effect,4,0.0033692173024196803
a1,fmi,scale_at_legacy_shape,4,0.030620173942091766
a1,fmi,legacy_shape_at_full_scale,4,0.023163140360017764
a1,fmi,factorial_scale_main,4,0.020723212413292724
a1,fmi,factorial_shape_main,4,0.013266178831218722
a1,fmi,interaction,4,0.019793923057598084
a1,fmi,asr_vs_uniform_same_scale,4,5.344758978431674e-05
a1,fmi,asr_vs_legacy_same_scale,4,-0.023109692770233448
a1,homogeneity,uniform_scale_effect,0,0.004085277931015541
a1,homogeneity,legacy_shape_effect,0,0.0008739638468004407
a1,homogeneity,scale_at_legacy_shape,0,0.006956774554451928
a1,homogeneity,legacy_shape_at_full_scale,0,0.0037454604702368277
a1,homogeneity,factorial_scale_main,0,0.005521026242733734
a1,homogeneity,factorial_shape_main,0,0.002309712158518634
a1,homogeneity,interaction,0,0.002871496623436387
a1,homogeneity,asr_vs_uniform_same_scale,0,-0.0004316009370877172
a1,homogeneity,asr_vs_legacy_same_scale,0,-0.004177061407324545
a1,homogeneity,uniform_scale_effect,1,0.017412034241609142
a1,homogeneity,legacy_shape_effect,1,0.009873065564864614
a1,homogeneity,scale_at_legacy_shape,1,-0.0089815860744068
a1,homogeneity,legacy_shape_at_full_scale,1,-0.01652055475115133
