step,fraction_of_training,state_sha256,state_file_saved
0,0.0,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,False
1,0.000625,21f08eb79fb7d6f358e4a0fbfada98e4f78cdf2a06d7b71d63ea58e4433f209f,False
5,0.003125,3462e9fd2df4284a18c3eb647ff78a203183d7ba8d29be0d86133dc9b5105aeb,False
10,0.00625,f73d1b10ae1e295730fed990434e001b071e8776ae4a15fd6c197c0c6a17c484,False
20,0.0125,6affe964fe5caf7b99e95c8861147b15302874d1c2b9d6f5e35843d8c7f46069,False
40,0.025,72e6beb720ed9f3f50b3bc5ec578f5db61b4d170849f688b0d981ec5b8ea5bc5,False
80,0.05,d780563b9c850613df1e7a9046112a9ddb9124506cb25a3f559ddba9ed8df67b,False
320,0.2,df387e9aca501dd39c6304b6f174baf7bdbeb599b77557b4b5835f9fe9f66cb4,False
800,0.5,ddbf21c27b788869176b6fff30f3147e8d2f5d48b48db0d870109b1653db0609,False
1600,1.0,e9b9b0051b038f8e86b5bf36438da83a2fffd595a9f05dbba6c8dcae67dbc5aa,True
