candidate,dataset,seed,ari_recomputed,nmi_recomputed,q_recomputed,max_abs_error
Q00_REFERENCE_ALIAS,a1,0,0.27446798800375277,0.4147370479615583,0.3446025179826555,5.551115123125783e-17
Q01_GLOBAL_QUALITY_BLEND,a1,0,0.27339719853910427,0.41353838515241576,0.34346779184576004,1.6653345369377348e-16
Q02_SPOT_QUALITY_BLEND,a1,0,0.2723714064411762,0.4136618873299544,0.3430166468855653,5.551115123125783e-17
Q03_MASKED_RESIDUAL,a1,0,0.27311613236004434,0.4134092938823498,0.34326271312119705,2.220446049250313e-16
Q04_SPOT_GATED_MASKED_RESIDUAL,a1,0,0.2738547977428921,0.4147740578715915,0.3443144278072418,5.551115123125783e-17
Q05_BOUNDARY_GATED_RESIDUAL,a1,0,0.2747299592075777,0.41413753936683695,0.3444337492872073,5.551115123125783e-17
Q06_COORDINATE_PRIOR_RESIDUAL,a1,0,0.2746539478856942,0.41527604762116005,0.34496499775342715,2.220446049250313e-16
Q07_CONFIDENCE_MNN_RESIDUAL,a1,0,0.2738863160086541,0.4149863585124551,0.34443633726055456,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,a1,1,0.2672471914408437,0.4132690689870536,0.3402581302139487,2.220446049250313e-16
Q01_GLOBAL_QUALITY_BLEND,a1,1,0.26736614628218347,0.4116678015889665,0.339516973935575,0.0
Q02_SPOT_QUALITY_BLEND,a1,1,0.26633872123891583,0.4111536634351865,0.33874619233705117,2.220446049250313e-16
Q03_MASKED_RESIDUAL,a1,1,0.267500916472881,0.411718164718945,0.339609540595913,1.1102230246251565e-16
Q04_SPOT_GATED_MASKED_RESIDUAL,a1,1,0.2666074080064052,0.41058374752515975,0.3385955777657825,1.6653345369377348e-16
Q05_BOUNDARY_GATED_RESIDUAL,a1,1,0.26771057401193743,0.412339164507053,0.3400248692594952,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,a1,1,0.2672014170044784,0.41101084518452463,0.3391061310945015,2.220446049250313e-16
