stage,candidate,dataset,family,seed,success,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,ami,mi,fmi,homogeneity,completeness,v_measure,silhouette,davies_bouldin,calinski_harabasz,foscttm_mean,recall_at_1,recall_at_5,recall_at_10,paired_median_rank,training_runtime_seconds,peak_gpu_mib
r2,Q00_REFERENCE_ALIAS,a1,RNA+protein,0,True,0.2744679880037527,0.4147370479615583,0.3446025179826555,0.6167581623808148,0.5499301490114089,0.46285877900957717,0.3832418376191852,0.41088756084643535,0.7713368649083819,0.4176458500628483,0.45722290387853826,0.3794755919279705,0.41473704796155836,0.1253763528926319,1.5551626129880654,674.7391633397614,0.1734365919689303,0.0015786452353616532,0.0076061997703788745,0.018082663605051664,401.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,a1,RNA+protein,0,True,0.2746539478856942,0.41527604762116027,0.34496499775342726,0.6215255706443225,0.5556828514184448,0.4573289251662689,0.37847442935567754,0.4114245254286734,0.7713012810546032,0.41824379346818463,0.4572018109505374,0.38039365244585427,0.41527604762116027,0.12726256243004674,1.5480912895971592,655.8327652943364,0.1635914131719986,0.0018656716417910447,0.008323765786452353,0.020091848450057407,379.25,7.121828317642212,51.427734375
r2,Q00_REFERENCE_ALIAS,a1,RNA+protein,1,True,0.2672471914408437,0.41326906898705384,0.3402581302139488,0.6276220745449292,0.5587973329910844,0.45437093774630793,0.37237792545507076,0.40941143819817016,0.7691939866670211,0.4116455729581791,0.4559526767485417,0.37789295339223317,0.4132690689870538,0.10538161162434408,1.6027835695472104,645.8684944017318,0.20680153693864212,0.0012916188289322618,0.009328358208955223,0.018800229621125143,483.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,a1,RNA+protein,1,True,0.2672014170044784,0.41101084518452485,0.3391061310945016,0.6277954348454204,0.5598609814567614,0.4531748492550881,0.37220456515457956,0.4071379015956517,0.7649388582645624,0.41170508010125967,0.4534303777984205,0.37584922150393957,0.4110108451845248,0.10929847872584927,1.6158651511603466,646.154883346442,0.19682710148983434,0.0015786452353616532,0.009902411021814007,0.0202353616532721,456.0,9.052704572677612,52.61279296875
r2,Q00_REFERENCE_ALIAS,a1,RNA+protein,2,True,0.27526557454695755,0.40954213777203574,0.34240385615949664,0.6193585668881826,0.5343047402051191,0.477549771158149,0.3806414331118174,0.4056636654023484,0.7631486963648038,0.41822852494608903,0.4523692292141147,0.3741228548490416,0.4095421377720358,0.1038169396392238,1.6510368973384808,667.8896991938869,0.20966479633898355,0.00043053960964408724,0.006601607347876005,0.014351320321469576,493.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,a1,RNA+protein,2,True,0.27560015131855436,0.4108017591924073,0.34320095525548083,0.6242126553019358,0.5427530413123784,0.4691729924418128,0.3757873446980642,0.40693281097159895,0.7657376522194881,0.4184780480968114,0.45390387635435314,0.37517557804764423,0.41080175919240725,0.10315083755158737,1.6799018416931777,644.1917861167647,0.19886133830944663,0.0007175660160734788,0.006888633754305396,0.015355912743972445,470.25,7.156845331192017,52.61279296875
r2,Q00_REFERENCE_ALIAS,a1,RNA+protein,3,True,0.2640021001278234,0.40423792852924534,0.33412001432853433,0.6338052585957815,0.574343599235682,0.44028730010544403,0.3661947414042185,0.4003045357594804,0.747888878562542,0.41038020873097775,0.44332371547604615,0.37148575952976115,0.4042379285292454,0.11182943290446598,1.707769582128116,582.6252208477325,0.18318036795417336,0.0014351320321469576,0.010763490241102182,0.021814006888633754,431.25,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,a1,RNA+protein,3,True,0.26298732142881287,0.39693940536514694,0.3299633633969799,0.6339786188962727,0.5833714587015808,0.4316794352075214,0.3660213811037273,0.39295031084215476,0.7323652032434852,0.41017308550298925,0.4341217957556788,0.36562384236886625,0.396939405365147,0.12060796622521519,1.781319341680137,533.0663169584598,0.1719415906619424,0.0018656716417910447,0.011481056257175661,0.02195752009184845,404.25,7.562312602996826,51.02880859375
r2,Q00_REFERENCE_ALIAS,a1,RNA+protein,4,True,0.2650444081657329,0.40158324045111066,0.33331382430842177,0.6429355677549841,0.5856323521166924,0.4281300037201784,0.35706443224501594,0.3975893216477617,0.7332491785445335,0.4137059326167473,0.43464578698764234,0.37319511130305527,0.40158324045111066,0.12801347471939706,1.6423637863047695,601.412679789772,0.1647619337223641,0.0031572904707233064,0.017365097588978185,0.0337256027554535,328.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,a1,RNA+protein,4,True,0.2654794169509029,0.4023787252056181,0.33392907107826053,0.6438890494076857,0.5903651013387605,0.42345644423320905,0.35611095059231435,0.39839295991151313,0.7354742241722134,0.4137243381222496,0.4359647202182884,0.3735974042117544,0.4023787252056181,0.13183454428136446,1.5874127830460285,593.4942545990087,0.15633828966873048,0.0038748564867967855,0.018656716417910446,0.035160734787600456,310.5,7.885013818740845,50.8408203125
r2,Q00_REFERENCE_ALIAS,tonsil,RNA+protein,0,True,0.1522327250963723,0.2733283147344344,0.21278051991540337,0.7200811826841025,0.5741961814432107,0.42301700226000316,0.2799188173158975,0.2726757786147225,0.3180797910076492,0.45507885281472005,0.30005495350687483,0.2509734841479456,0.2733283147344344,0.3685101272661362,1.0373414186350294,2585.5741927470385,0.1405848759617209,0.0020804438280166435,0.009246417013407305,0.019879796578825704,411.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,RNA+protein,0,True,0.1504445946893869,0.2705540414974345,0.21049931809341071,0.7204501948845684,0.5751221770987451,0.4220918297011879,0.2795498051154316,0.26989995610932777,0.31528194971656176,0.45341071226098134,0.297415659335254,0.2481426060415274,0.2705540414974345,0.3612324563938927,1.1111873473261842,2527.6512404187392,0.13473627668700344,0.002196024040684235,0.009824318076745261,0.020457697642163663,396.0,10.717443227767944,61.29638671875
r2,Q00_REFERENCE_ALIAS,tonsil,RNA+protein,1,True,0.14861514560681205,0.2701300690467603,0.20937260732678617,0.7227565211374801,0.5785466906620068,0.41858951690633706,0.2772434788625199,0.269474775658853,0.3144125398887609,0.45255944528602193,0.29659551692811525,0.2480007682574801,0.27013006904676035,0.36408666849236004,1.062381720244834,2633.6181420348203,0.12127469608416912,0.0016181229773462784,0.009015256588072122,0.019070735090152564,373.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,RNA+protein,1,True,0.14720579265016065,0.2692929403325143,0.20824936649133746,0.7218339906363154,0.5786689041645658,0.41874224364594353,0.27816600936368463,0.26863778040506936,0.3138432721138462,0.45108929105785345,0.2960585082260098,0.2469656760083976,0.2692929403325142,0.34652524369357846,1.1544422152932485,2449.70842728605,0.11698302240251844,0.0020804438280166435,0.009824318076745261,0.020457697642163663,363.5,8.85084080696106,61.29638671875
r2,Q00_REFERENCE_ALIAS,tonsil,RNA+protein,2,True,0.1553315607124325,0.2730142678484609,0.2141729142804467,0.7206116377222722,0.5759348312096273,0.4216963132599873,0.2793883622777278,0.2723630287267106,0.31842998647916965,0.45676354636461247,0.30038530422042536,0.2502147594031344,0.2730142678484609,0.3802016900282791,1.0218481852787464,2585.7112085161534,0.12804783016523294,0.001502542764678687,0.00878409616273694,0.01768377253814147,384.75,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,RNA+protein,2,True,0.15357371388832858,0.2730515620070974,0.213312637947713,0.7206347009848013,0.5769678028901538,0.4205923488537539,0.2793652990151987,0.2724008884741998,0.31873186457954494,0.45504241934138995,0.3006700755951987,0.25008007130038074,0.2730515620070974,0.363978725222506,1.1165144208304199,2464.8125406632944,0.12328159615605601,0.0018492834026814608,0.008668515950069348,0.01849283402681461,375.0,8.889673948287964,61.29638671875
r2,Q00_REFERENCE_ALIAS,tonsil,RNA+protein,3,True,0.15463883708914133,0.27374193978974287,0.2141903884394421,0.7216033580110243,0.5778897913902156,0.4191514111759904,0.27839664198897573,0.2730909493620587,0.31909382088546057,0.4564180749086253,0.3010115206841777,0.2510028057506538,0.27374193978974287,0.3760798751601291,1.045908676204104,2597.9596783394227,0.13016167867899164,0.0016181229773462784,0.0076282940360610264,0.017337031900138695,379.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,RNA+protein,3,True,0.15263842521538856,0.2715412315517676,0.2120898283835781,0.7209575866602089,0.5792656464978833,0.4179497163007803,0.2790424133397911,0.2708894855533011,0.31709648420374215,0.45433171827919144,0.2991273683987652,0.24861357948683532,0.2715412315517677,0.3578196458759015,1.1421413396782356,2419.746745279983,0.12416281176593201,0.0017337031900138697,0.008437355524734165,0.01699029126213592,363.0,9.17633605003357,59.96240234375
r2,Q00_REFERENCE_ALIAS,tonsil,RNA+protein,4,True,0.15395375517720053,0.27339873762538497,0.21367624640129274,0.7214419151733205,0.5766686516004614,0.4208211001475613,0.27855808482667954,0.2727466393516627,0.3183342755375375,0.4560499051199254,0.3002950169939073,0.25092439644355746,0.27339873762538497,0.3740889923608282,1.0339703432325336,2635.317766277981,0.13487034973369785,0.0017337031900138697,0.011326860841423949,0.024387424872861767,403.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,tonsil,RNA+protein,4,True,0.1509849549841673,0.2692722235234351,0.2101285892538012,0.7223644456744851,0.5784664462878379,0.4189860938455462,0.2776355543255149,0.2686166822871934,0.31365309409546666,0.4538148749014796,0.2958791071509458,0.24705577096338893,0.26927222352343516,0.35989520825220844,1.117531879559932,2527.1222716274006,0.13045550629477898,0.0019648636153490524,0.012135922330097087,0.024040684234858993,396.25,8.971989154815674,59.96533203125
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,0,True,0.2375418648455073,0.37711150488672485,0.3073266848661161,0.6296551311220213,0.5688539164925241,0.44075212547790177,0.3703448688779787,0.37298406746172796,0.7216760362082081,0.3792491703410573,0.415014602087202,0.345552362800602,0.37711150488672485,0.1399145877636794,1.5637653700566376,517.9329996693245,0.14509644114351655,0.0031259303364096457,0.014587674903245014,0.028431080678773445,281.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,0,True,0.24170485474410272,0.37850606245932955,0.3101054586017161,0.631062148245719,0.5706592599926503,0.4388577669084568,0.36893785175428095,0.3743863329553239,0.7241064611331861,0.38291136252963953,0.4164122677744849,0.34692528957320595,0.3785060624593296,0.14787128030292188,1.540907907928446,527.7401644646553,0.134283216966109,0.003572491813039595,0.01637392080976481,0.030217326585293244,260.5,7.023239374160767,61.29638671875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,1,True,0.2520413210974017,0.37951951966063835,0.31578042037902,0.6273200814273739,0.5633469149507649,0.44567541454874215,0.37267991857262606,0.3753915539091785,0.7237536935967421,0.39300696739160934,0.4162094015693996,0.3487742152046863,0.3795195196606384,0.13568760077528436,1.6595246450778594,484.5933336897332,0.16498859614795733,0.003274784161952962,0.015331944030961596,0.02977076510866329,339.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,1,True,0.2590387405205412,0.384863047994642,0.3219508942575916,0.6255538258891151,0.5599099739665029,0.4494750246274892,0.3744461741108849,0.3807759019931093,0.7349024996893583,0.39857405940059715,0.4226207511114808,0.3532987022409273,0.38486304799464194,0.14227804828611634,1.6450636987078102,497.6664130175447,0.1533179331535503,0.003572491813039595,0.017118189937481394,0.03111044953855314,312.5,7.019345283508301,61.29638671875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,2,True,0.23102745409241648,0.3793379883028963,0.3051827211976564,0.6353430726859058,0.5700139695195519,0.43949800138599626,0.36465692731409416,0.3752229779736625,0.7257047469102155,0.3740348775061287,0.41733139478230497,0.34768510591490376,0.3793379883028963,0.129945337155313,1.5663487911852418,514.0628262307574,0.16453383396920543,0.003870199464126228,0.01816016671628461,0.03245013396844299,314.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,2,True,0.2325951668376401,0.3803542309388884,0.3064746988882643,0.6351335169440786,0.5680468694903245,0.4414544771354073,0.3648664830559214,0.37623890394757675,0.7264744969378061,0.3758951231325116,0.4177740553188604,0.3490867004234754,0.3803542309388885,0.13432033872912524,1.5431734024674522,522.647811580669,0.15357751862179975,0.003870199464126228,0.01979755879726109,0.034385233700506106,292.5,6.9725425243377686,61.29638671875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,3,True,0.24633014423947824,0.3830384319499561,0.31468428809471716,0.6229493473835469,0.5569241627176806,0.4519851370451858,0.3770506526164531,0.3789450925641971,0.7322707017560945,0.3871540122898921,0.42110728174676954,0.3512819195125804,0.38303843194995607,0.13779247253192575,1.5440410689978799,536.520796626343,0.14062532969038938,0.006103006847275975,0.020541827924977673,0.04123250967549866,271.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,3,True,0.2487116784056989,0.3837929585710842,0.3162523184883915,0.6231289665908274,0.5546980135586641,0.4545054566185092,0.3768710334091726,0.3797004238384997,0.7329564819295604,0.3894243856590724,0.42150165369696707,0.352277267116577,0.38379295857108425,0.1493782648681425,1.521694131490308,548.2292773692151,0.13241363419478236,0.006251860672819291,0.022774635308127417,0.04331646323310509,255.0,7.497279644012451,48.99853515625
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,4,True,0.2398593533697784,0.37385720262273353,0.306858277996256,0.6273200814273739,0.5634393585894928,0.445606379655975,0.37267991857262606,0.3697124351542052,0.7163420778804933,0.38113222915588524,0.41194719998174034,0.34221488517721893,0.37385720262273353,0.13022109188663908,1.5358028154479775,508.81533849269806,0.1634289555887209,0.00253051503423638,0.015778505507591543,0.030812741887466508,323.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,4,True,0.24012152374907964,0.37503910493449527,0.30758031434178745,0.6275895102382948,0.5666899466565504,0.4424759899143525,0.3724104897617052,0.37090547466507534,0.7191529568854819,0.3811370474700102,0.4135636535886799,0.3430802699691246,0.3750391049344952,0.14021063663543257,1.517068338264659,519.5409397393355,0.1532749792056791,0.0031259303364096457,0.017118189937481394,0.03200357249181304,302.0,7.551170110702515,48.9267578125
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,5,True,0.24525913546086692,0.3796687724445877,0.3124639539527273,0.6261226200455036,0.5531740193290868,0.45540588995698145,0.37387737995449644,0.3755406586238995,0.723861637517834,0.3873156822842085,0.4162714769345386,0.34898275753832886,0.3796687724445877,0.14658355830374267,1.6100958772886975,532.3055445390253,0.16055463165903663,0.0034236379874962785,0.019946412622804405,0.034831795177136055,315.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,5,True,0.2475724899921426,0.3798425516894292,0.3137075208407859,0.6248652855945396,0.5531533974608989,0.45548914378491734,0.3751347144054604,0.37571754935935747,0.7245192783247102,0.3891222863444458,0.41664966676500054,0.3490107082359401,0.3798425516894292,0.15216620643792614,1.5674795345623957,543.5731371270575,0.15186139980045252,0.004019053289669544,0.020839535576064303,0.03587377195593927,302.0,7.765761137008667,48.94873046875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,6,True,0.23346023355809783,0.373043345986814,0.3032517897724559,0.621931505208957,0.5630148921258498,0.4468569406267603,0.378068494791043,0.36888505846408715,0.713167484699656,0.376035168571103,0.4101215850802725,0.3421135700185896,0.373043345986814,0.13707257174595,1.5548438995928684,537.0999234973574,0.14965057916461355,0.004912176242929443,0.02307234295921405,0.04123250967549866,281.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,6,True,0.23366758215240183,0.3737556765058582,0.30371162932913004,0.6253442701472878,0.5676658415836852,0.44231920405406344,0.3746557298527122,0.36960666959825594,0.7152951680986878,0.3758870843758109,0.41134515304555547,0.3424609638512007,0.3737556765058583,0.14442398505368242,1.5321247276405963,549.7063223996304,0.1408619975208169,0.005209883894016076,0.023816612086930634,0.044805001488538256,263.0,8.217172622680664,49.04248046875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,7,True,0.23851991147994456,0.37601025785252845,0.3072650846662365,0.6353430726859058,0.5772678459003938,0.4326198582438443,0.36465692731409416,0.3718552514936311,0.7160534675691708,0.3813830464171401,0.41178122870446043,0.34595733444604776,0.37601025785252845,0.12285831437835694,1.58505647128338,512.6169330439916,0.1659615540445774,0.002232807383149747,0.016671628460851445,0.03111044953855314,350.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,7,True,0.23843532328427394,0.37559335238527486,0.3070143378347744,0.6399532990061071,0.5827881068100866,0.4267839970319294,0.3600467009938929,0.37143371638810174,0.7148417355953876,0.38136001361982763,0.41108439738721425,0.3457435234277773,0.3755933523852749,0.13094784204999746,1.5476519659193024,526.046900684518,0.1560121076052691,0.00253051503423638,0.01860672819291456,0.03408752604941947,331.5,7.511792182922363,48.66796875
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,8,True,0.23613413319484772,0.37434535725388773,0.3052397452243677,0.6259729373727697,0.5606046065343,0.4483041558615602,0.3740270626272303,0.3701927409590287,0.7152714759153207,0.3785569835341396,0.4113315283697185,0.3434618979220409,0.3743453572538878,0.13690171935777606,1.4787345872857596,557.373572899607,0.1368643990410232,0.005209883894016076,0.024114319738017267,0.04420958618636499,258.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,8,True,0.24151704239046884,0.3782392867434217,0.3098781645669453,0.6251347144054604,0.5609664171436118,0.4476459613805955,0.3748652855945396,0.3741108254428477,0.7223724950208102,0.38312510770334945,0.4154151150077929,0.3471707048907885,0.3782392867434217,0.14686830058909628,1.4477366455811673,573.4489013303286,0.12953150851605238,0.005209883894016076,0.025156296516820484,0.045251562965168204,246.5,7.572593688964844,48.8984375
r2,Q00_REFERENCE_ALIAS,d1,RNA+protein,9,True,0.2518324143016672,0.3806280943870261,0.31623025434434665,0.6342354209076757,0.5709398620355636,0.4394423089802927,0.3657645790923243,0.3764948766425844,0.7235613403183513,0.39348181022299833,0.41609878487259067,0.3507298349544012,0.38062809438702616,0.1318165082865615,1.6491895121307416,458.3551908766688,0.1691296847508254,0.003870199464126228,0.01801131289074129,0.03319440309615957,331.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,d1,RNA+protein,9,True,0.2524182993768885,0.378789035057059,0.31560366721697375,0.6303736079511436,0.5667964058729364,0.44343705151209967,0.3696263920488564,0.374648367536967,0.7208425704189108,0.39360661571344574,0.4145353004954297,0.3487183095006755,0.3787890350570591,0.139242026091894,1.6197231045989835,475.9101811065912,0.1580448178566432,0.004465614766299494,0.01845787436737124,0.03572491813039595,303.5,7.620599746704102,48.7421875
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,0,True,0.5049393284724745,0.6498424118737981,0.5773908701731363,0.9026827927432656,0.8602496177558985,0.1407128551260459,0.09731720725673443,0.6492246465137402,1.297104384174141,0.5807542866462554,0.6492601360776238,0.6504257330119628,0.649842411873798,0.2016543158223186,1.5780199601142124,1606.9585503624523,0.1096103679851348,0.020878642888212267,0.06611570247933884,0.09998912570682905,307.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,0,True,0.4954497527861342,0.6450509170401749,0.5702503349131546,0.9041341396371633,0.862058984657756,0.13945720115399693,0.09586586036283673,0.6444259239285942,1.2886569650366735,0.5727238513980385,0.645031816009005,0.6450700192026383,0.6450509170401748,0.13667320619407114,2.106786601711811,798.0387740812037,0.09202703210914455,0.021802957807742496,0.07030230535015224,0.10607872988255763,265.5,18.756476402282715,175.3818359375
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,1,True,0.48984404531808956,0.640229542847059,0.5650367940825742,0.9004288070368335,0.859236796033955,0.14202103140782146,0.09957119296316652,0.6395946450750456,1.27779153409141,0.5679346310435812,0.6395931703146917,0.6408671829768644,0.6402295428470589,0.2352969013170079,1.5636494536667451,1909.8852687545257,0.08830954352567408,0.01962809917355372,0.06356024358416702,0.09389952153110048,289.75,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,1,True,0.4748043136242675,0.6329275326114837,0.5538659231178756,0.9018141836173722,0.8580412895718522,0.14346222157761224,0.0981858163826278,0.6322801741893964,1.2625707689322951,0.5555264951755426,0.6319744804243599,0.6338834636500403,0.6329275326114838,0.14856461131848533,2.0628049277255824,866.1767816684641,0.07787285934897104,0.020063070900391475,0.06731187472814266,0.09895606785558939,261.25,17.993877172470093,175.3837890625
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,2,True,0.5070851708762827,0.6539310561570045,0.5805081135166437,0.9040351841671248,0.8634544703934734,0.13678697740367,0.0959648158328752,0.6533260936637542,1.3130488960751752,0.5820204514542419,0.6572410943511924,0.6506541913306519,0.6539310561570045,0.2411955444511898,1.5986474623448703,1943.3924753635474,0.07761894844698064,0.021096128751631145,0.06557198782079166,0.09944541104828186,262.0,,
