candidate,registry_order,complete,a1_count,a1_mean_ari,a1_mean_delta_ari,a1_wins_ari,a1_mean_nmi,a1_mean_delta_nmi,a1_wins_nmi,a1_mean_q,a1_mean_delta_q,a1_wins_q,a1_mean_mi,a1_mean_delta_mi,a1_wins_mi,a1_mean_ami,a1_mean_delta_ami,a1_wins_ami,a1_mean_fmi,a1_mean_delta_fmi,a1_wins_fmi,a1_mean_homogeneity,a1_mean_delta_homogeneity,a1_wins_homogeneity,a1_mean_completeness,a1_mean_delta_completeness,a1_wins_completeness,a1_mean_v_measure,a1_mean_delta_v_measure,a1_wins_v_measure,a1_mean_neighbor_agreement,a1_mean_delta_neighbor_agreement,a1_wins_neighbor_agreement,a1_mean_moran_i,a1_mean_delta_moran_i,a1_wins_moran_i,a1_mean_geary_c,a1_mean_delta_geary_c,a1_wins_geary_c,a1_mean_boundary_disagreement,a1_mean_delta_boundary_disagreement,a1_wins_boundary_disagreement,a1_mean_silhouette,a1_mean_delta_silhouette,a1_wins_silhouette,a1_mean_davies_bouldin,a1_mean_delta_davies_bouldin,a1_wins_davies_bouldin,a1_mean_calinski_harabasz,a1_mean_delta_calinski_harabasz,a1_wins_calinski_harabasz,a1_mean_foscttm_mean,a1_mean_delta_foscttm_mean,a1_wins_foscttm_mean,a1_mean_recall_at_1,a1_mean_delta_recall_at_1,a1_wins_recall_at_1,a1_mean_recall_at_5,a1_mean_delta_recall_at_5,a1_wins_recall_at_5,a1_mean_recall_at_10,a1_mean_delta_recall_at_10,a1_wins_recall_at_10,a1_mean_paired_median_rank,a1_mean_delta_paired_median_rank,a1_wins_paired_median_rank,tonsil_count,tonsil_mean_ari,tonsil_mean_delta_ari,tonsil_wins_ari,tonsil_mean_nmi,tonsil_mean_delta_nmi,tonsil_wins_nmi,tonsil_mean_q,tonsil_mean_delta_q,tonsil_wins_q,tonsil_mean_mi,tonsil_mean_delta_mi,tonsil_wins_mi,tonsil_mean_ami,tonsil_mean_delta_ami,tonsil_wins_ami,tonsil_mean_fmi,tonsil_mean_delta_fmi,tonsil_wins_fmi,tonsil_mean_homogeneity,tonsil_mean_delta_homogeneity,tonsil_wins_homogeneity,tonsil_mean_completeness,tonsil_mean_delta_completeness,tonsil_wins_completeness,tonsil_mean_v_measure,tonsil_mean_delta_v_measure,tonsil_wins_v_measure,tonsil_mean_neighbor_agreement,tonsil_mean_delta_neighbor_agreement,tonsil_wins_neighbor_agreement,tonsil_mean_moran_i,tonsil_mean_delta_moran_i,tonsil_wins_moran_i,tonsil_mean_geary_c,tonsil_mean_delta_geary_c,tonsil_wins_geary_c,tonsil_mean_boundary_disagreement,tonsil_mean_delta_boundary_disagreement,tonsil_wins_boundary_disagreement,tonsil_mean_silhouette,tonsil_mean_delta_silhouette,tonsil_wins_silhouette,tonsil_mean_davies_bouldin,tonsil_mean_delta_davies_bouldin,tonsil_wins_davies_bouldin,tonsil_mean_calinski_harabasz,tonsil_mean_delta_calinski_harabasz,tonsil_wins_calinski_harabasz,tonsil_mean_foscttm_mean,tonsil_mean_delta_foscttm_mean,tonsil_wins_foscttm_mean,tonsil_mean_recall_at_1,tonsil_mean_delta_recall_at_1,tonsil_wins_recall_at_1,tonsil_mean_recall_at_5,tonsil_mean_delta_recall_at_5,tonsil_wins_recall_at_5,tonsil_mean_recall_at_10,tonsil_mean_delta_recall_at_10,tonsil_wins_recall_at_10,tonsil_mean_paired_median_rank,tonsil_mean_delta_paired_median_rank,tonsil_wins_paired_median_rank,d1_count,d1_mean_ari,d1_mean_delta_ari,d1_wins_ari,d1_mean_nmi,d1_mean_delta_nmi,d1_wins_nmi,d1_mean_q,d1_mean_delta_q,d1_wins_q,d1_mean_mi,d1_mean_delta_mi,d1_wins_mi,d1_mean_ami,d1_mean_delta_ami,d1_wins_ami,d1_mean_fmi,d1_mean_delta_fmi,d1_wins_fmi,d1_mean_homogeneity,d1_mean_delta_homogeneity,d1_wins_homogeneity,d1_mean_completeness,d1_mean_delta_completeness,d1_wins_completeness,d1_mean_v_measure,d1_mean_delta_v_measure,d1_wins_v_measure,d1_mean_neighbor_agreement,d1_mean_delta_neighbor_agreement,d1_wins_neighbor_agreement,d1_mean_moran_i,d1_mean_delta_moran_i,d1_wins_moran_i,d1_mean_geary_c,d1_mean_delta_geary_c,d1_wins_geary_c,d1_mean_boundary_disagreement,d1_mean_delta_boundary_disagreement,d1_wins_boundary_disagreement,d1_mean_silhouette,d1_mean_delta_silhouette,d1_wins_silhouette,d1_mean_davies_bouldin,d1_mean_delta_davies_bouldin,d1_wins_davies_bouldin,d1_mean_calinski_harabasz,d1_mean_delta_calinski_harabasz,d1_wins_calinski_harabasz,d1_mean_foscttm_mean,d1_mean_delta_foscttm_mean,d1_wins_foscttm_mean,d1_mean_recall_at_1,d1_mean_delta_recall_at_1,d1_wins_recall_at_1,d1_mean_recall_at_5,d1_mean_delta_recall_at_5,d1_wins_recall_at_5,d1_mean_recall_at_10,d1_mean_delta_recall_at_10,d1_wins_recall_at_10,d1_mean_paired_median_rank,d1_mean_delta_paired_median_rank,d1_wins_paired_median_rank,p22_count,p22_mean_ari,p22_mean_delta_ari,p22_wins_ari,p22_mean_nmi,p22_mean_delta_nmi,p22_wins_nmi,p22_mean_q,p22_mean_delta_q,p22_wins_q,p22_mean_mi,p22_mean_delta_mi,p22_wins_mi,p22_mean_ami,p22_mean_delta_ami,p22_wins_ami,p22_mean_fmi,p22_mean_delta_fmi,p22_wins_fmi,p22_mean_homogeneity,p22_mean_delta_homogeneity,p22_wins_homogeneity,p22_mean_completeness,p22_mean_delta_completeness,p22_wins_completeness,p22_mean_v_measure,p22_mean_delta_v_measure,p22_wins_v_measure,p22_mean_neighbor_agreement,p22_mean_delta_neighbor_agreement,p22_wins_neighbor_agreement,p22_mean_moran_i,p22_mean_delta_moran_i,p22_wins_moran_i,p22_mean_geary_c,p22_mean_delta_geary_c,p22_wins_geary_c,p22_mean_boundary_disagreement,p22_mean_delta_boundary_disagreement,p22_wins_boundary_disagreement,p22_mean_silhouette,p22_mean_delta_silhouette,p22_wins_silhouette,p22_mean_davies_bouldin,p22_mean_delta_davies_bouldin,p22_wins_davies_bouldin,p22_mean_calinski_harabasz,p22_mean_delta_calinski_harabasz,p22_wins_calinski_harabasz,p22_mean_foscttm_mean,p22_mean_delta_foscttm_mean,p22_wins_foscttm_mean,p22_mean_recall_at_1,p22_mean_delta_recall_at_1,p22_wins_recall_at_1,p22_mean_recall_at_5,p22_mean_delta_recall_at_5,p22_wins_recall_at_5,p22_mean_recall_at_10,p22_mean_delta_recall_at_10,p22_wins_recall_at_10,p22_mean_paired_median_rank,p22_mean_delta_paired_median_rank,p22_wins_paired_median_rank,protein_family_mean_delta_q,atac_family_mean_delta_q,macro_delta_q,worst_dataset_delta_q,worst_family_delta_q,spatial_protected_0_03,any_family_positive_q
Q01_GLOBAL_QUALITY_BLEND,0,True,3,0.27219137396395876,-0.00013554403322590947,2,0.4124086721443125,-0.00010741276257016559,1,0.3423000230541356,-0.00012147839789803753,1,0.7668912530818247,-0.0010019295649108158,1,0.4085419735337317,-0.00011224794858631186,1,0.41610876943005665,0.0002687867743511411,2,0.45458769267403215,-0.0005939106063661178,1,0.3773936002712932,0.00022980021487806201,1,0.41240867214431237,-0.00010741276257023961,1,0.6257247423673312,0.004478474429355672,3,0.5534895204272061,0.005812113024668664,3,0.45933988562598294,-0.005586610345361731,0,0.3742752576326687,-0.004478474429355672,0,0.1111735984041053,-0.0003513696479612906,1,1.6278668114798684,0.024872451521949463,3,632.0812339689279,-30.75121834286544,0,0.19666201117471893,2.770275920027654e-05,2,0.0011002678913126674,0.0,0,0.007893226176808266,4.7837734404898524e-05,1,0.017125908916953692,4.783773440489881e-05,1,459.3333333333333,0.0,0,3,0.14981975995894578,-0.002240050512926528,0,0.2700480093807687,-0.002109541162449824,0,0.2099338846698572,-0.002174795837688176,0,0.3148965098509432,-0.0020775959409167397,0,0.2693939119833086,-0.0021106156834534615,0,0.45275835885772125,-0.002042255964063618,0,0.29705206144495266,-0.0019598634401858384,0,0.24754463142131847,-0.002185039181534898,0,0.2700480093807687,-0.0021095411624498426,0,0.7210805907270309,-6.918978758737222e-05,2,0.577303496087367,0.0010775949824186615,2,0.42006742498052024,-0.0010335191615888917,1,0.2789194092729691,6.918978758737222e-05,1,0.35431538724488765,-0.01661744135070416,0,1.1336186085871782,0.09309483386764154,3,2435.836781245354,-165.79773318731682,0,0.1297559409120103,-0.00021319315836403063,0,0.0017337031900138695,0.0,0,0.009092310063183848,7.705347511172712e-05,2,0.018955154877484975,7.705347511172828e-05,2,389.0,-0.75,0,3,0.24263657823700993,0.0024330315585681197,3,0.3788136272244966,0.00015728960774336054,1,0.3107251027307532,0.001295160583155745,2,0.723589297824681,-0.0001221944137075696,1,0.3746885409410275,0.00015567449283785764,1,0.38436627222942477,0.0022692671498263004,3,0.4161148624098548,-7.027040311406256e-05,1,0.3476505120311421,0.0003132840577447227,1,0.3788136272244966,0.00015728960774332354,1,0.6323693769209277,0.0015966151758272467,2,0.5681779916884294,0.0007730580341491396,2,0.44125104121978215,-0.0007241392510979142,1,0.3676306230790724,-0.0015966151758272467,1,0.13930368883216404,0.0041211802674051,3,1.5853281027910946,-0.011218165982151604,1,502.25180751883704,-3.2779123444347156,1,0.157219709014856,-0.0009865814053704365,0,0.0033740200456485064,-4.9617941847772146e-05,0,0.01617544904237372,0.0001488538255433157,2,0.031011213654857595,0.0007938870695643555,3,308.8333333333333,-2.8333333333333335,0,3,0.4867430388513509,-0.013879809370931325,0,0.6393272541948088,-0.008673749431145036,0,0.56303514652308,-0.011276779401038143,0,1.2774639315156415,-0.01851767326460041,0,0.6386921856244663,-0.008689609459713754,0,0.5652676614176796,-0.011635461630346641,0,0.6394291902252571,-0.009268943355912143,0,0.6392294924173082,-0.008086210022518118,0,0.639327254194809,-0.008673749431144925,0,0.9025581821513652,0.0001759208356239735,2,0.8599811545753585,-0.0009991401524171255,1,0.14135922754093838,0.0015189395617592656,2,0.09744181784863475,-0.0001759208356239735,1,0.1392862049261989,-0.08676271560397324,0,2.105812525165278,0.5257068997900017,3,816.896190188947,-1003.1825746378948,0,0.08684539691978206,-0.005000889732814452,0,0.02113237639553429,0.0005980861244019123,3,0.06707626504277221,0.0019936204146730426,3,0.10055096418732783,0.0027729447585906944,3,271.3333333333333,-15.083333333333334,0,-0.00033370455081015615,-0.011276779401038143,-0.003069473263367153,-0.011276779401038143,-0.011276779401038143,True,False
Q02_SPOT_QUALITY_BLEND,1,True,3,0.2709369177504711,-0.0013900002467136148,0,0.41186669244237867,-0.0006493924645039062,1,0.3414018050964249,-0.0010196963556087606,1,0.7663366035591906,-0.0015565790875449552,1,0.40799870587164655,-0.0006555156106713792,1,0.4148654327702223,-0.0009745498854831965,0,0.45425891483789976,-0.0009226884424983761,1,0.3767124136753795,-0.0004513863810356085,1,0.41186669244237867,-0.0006493924645039617,1,0.6266108061253973,0.005364538187421701,3,0.5544723374482734,0.006794930045735947,3,0.45822261847334694,-0.006703877497997723,0,0.37338919387460273,-0.005364538187421701,0,0.11201451328741763,0.0004895452353510336,2,1.6261086389145027,0.02311427895658384,3,637.9880094998881,-24.84444281190527,0,0.18920810103944818,-0.0074262073760704705,0,0.0014351320321469574,0.00033486414083429007,3,0.008419441255262151,0.0005740528128587835,3,0.017939150401836967,0.0008610792192881746,3,438.3333333333333,-21.0,0,3,0.14954958035524082,-0.002510230116631466,0,0.2699963265421825,-0.0021612240010360404,0,0.2097729534487117,-0.002335727058833753,0,0.31482579525867876,-0.002148310533181134,0,0.26934215692688296,-0.0021623707398790346,0,0.4525690103412205,-0.00223160448056429,0,0.29698535408317106,-0.0020265708019673867,0,0.24750423049798762,-0.002225440104865778,0,0.2699963265421825,-0.0021612240010360773,0,0.7211805315313238,3.075101670550288e-05,2,0.5774056972944189,0.0011797961894706905,3,0.41999139433045,-0.0011095498116591902,0,0.2788194684686762,-3.075101670550288e-05,1,0.35483071789223014,-0.016102110703361632,0,1.1329702016773853,0.09244642695784859,3,2451.1882307345627,-150.44628369810775,0,0.1266352395383205,-0.0033338945320538077,0,0.0019263368777931885,0.00019263368777931887,2,0.009246417013407305,0.00023116042533518252,3,0.01899368161504084,0.00011558021266759241,2,381.75,-8.0,0,3,0.24336713261723567,0.0031635859387938634,2,0.3788943301826407,0.00023799256588754222,2,0.31113073139993824,0.0017007892523407213,2,0.7241142151612507,0.0004027229228621791,2,0.3747719637834864,0.00023909733529675625,2,0.3848415188683845,0.0027445137887860773,3,0.41641672688731446,0.00023159407434562387,2,0.34757552818752746,0.00023830021413016414,2,0.3788943301826407,0.0002379925658875052,2,0.6317906039196903,0.0010178421745899262,2,0.5677235302496098,0.00031859659532943824,1,0.44166942799257014,-0.0003057524783099212,2,0.36820939608030967,-0.0010178421745899262,1,0.13995522658368567,0.00477271801892673,3,1.5897433687177855,-0.006802900055460655,0,504.82005000820124,-0.7096698550704824,1,0.14740673407968885,-0.010799556340537595,0,0.0037213456385829114,0.0002977076510866329,3,0.018507492309219015,0.0024808970923886078,3,0.032995931328768484,0.002778604743475239,3,284.3333333333333,-27.333333333333332,0,3,0.48627295197100556,-0.014349896251276695,0,0.6380214732013484,-0.009979530424605457,0,0.5621472125861771,-0.012164713337941077,0,1.271497617083659,-0.024483987696583148,0,0.637410031766744,-0.009971763317435878,0,0.5649869210807182,-0.011916201967307952,0,0.6364427766665232,-0.012255356914646187,0,0.639615225761092,-0.007700476678734414,0,0.6380214732013484,-0.009979530424605384,0,0.9038665933663186,0.0014843320505772233,3,0.8675346110651727,0.006554316337397041,2,0.13411235697448484,-0.005727931004694292,1,0.09613340663368149,-0.0014843320505772233,0,0.14439954839598101,-0.0816493721341911,0,2.09861710994059,0.5185114845653139,3,863.4173041178816,-956.6614607089601,0,0.0824795111129087,-0.009366775539687797,0,0.02183920545164564,0.0013049151805132654,3,0.06903363781354212,0.003950993185442948,3,0.10355951863128897,0.005781499202551836,3,254.83333333333334,-31.583333333333332,0,-0.0005515447207005976,-0.012164713337941077,-0.0034548368750107173,-0.012164713337941077,-0.012164713337941077,True,False
Q03_MASKED_RESIDUAL,2,True,3,0.2721426086345046,-0.00018430936268004627,2,0.41238242943095,-0.00013365547593258142,1,0.3422625190327273,-0.0001589824193063231,1,0.7668613141900816,-0.0010318684566539282,1,0.40851565718199195,-0.00013856430032597547,1,0.4160567235908404,0.000216740935134944,2,0.45456994589225047,-0.0006116573881477794,1,0.3773618462486145,0.0001980461921994118,1,0.41238242943095,-0.00013365547593261842,1,0.6255321198112299,0.004285851873254328,3,0.5532797954118115,0.005602388009274077,3,0.4595532606266428,-0.005373235344701892,0,0.37446788018877014,-0.004285851873254328,0,0.11139081635645189,-0.0001341516956146991,2,1.6261233822204832,0.023129022262564487,3,632.7774284042831,-30.055023907510304,0,0.19632801231590233,-0.0003062960996163359,0,0.0011002678913126674,0.0,0,0.007893226176808267,4.783773440489881e-05,1,0.017078071182548792,0.0,0,458.4166666666667,-0.9166666666666666,0,3,0.14993884520320655,-0.00212096526866574,0,0.2702056015566559,-0.0019519489865625905,0,0.21007222337993126,-0.00203645712761417,0,0.31505801128243116,-0.0019160945094287378,0,0.26955159714581867,-0.001952930520943345,0,0.45286972294473804,-0.0019308918770468326,0,0.29720441096820566,-0.0018075139169328458,0,0.24770370522979188,-0.0020259653730615077,0,0.2702056015566559,-0.0019519489865626276,0,0.7210805907270309,-6.918978758737222e-05,2,0.5771402930314143,0.0009143919264661404,2,0.4202295776466047,-0.0008713664955045294,1,0.2789194092729691,6.918978758737222e-05,1,0.3546584291851686,-0.016274399410423135,0,1.1322393442508687,0.09171556953133202,3,2441.9009016210643,-159.73361281160624,0,0.1291135821670644,-0.0008555519033099044,0,0.0017337031900138695,0.0,0,0.009130836800739714,0.00011558021266759126,1,0.018955154877484975,7.705347511172828e-05,2,387.25,-2.5,0,3,0.24190335835556617,0.0016998116771243428,3,0.37890876714695976,0.0002524295302065808,1,0.310406062751263,0.0009761206036654572,2,0.7237658636171839,5.437137879527043e-05,1,0.37478430553268566,0.00025143908449607827,1,0.3837484846147759,0.0016514795351775062,3,0.41621640018919237,3.1267376223572306e-05,1,0.34773993846702006,0.0004027104936227081,1,0.37890876714695976,0.0002524295302065623,1,0.6315810481778629,0.0008082864327625764,2,0.5675936267130222,0.00018869305874184375,2,0.44191607708405206,-5.910338682798185e-05,1,0.3684189518221371,-0.0008082864327625764,1,0.13986987740773119,0.004687368842972273,3,1.5814295322092307,-0.015116736564015465,0,506.0330164383617,0.5032965750899621,1,0.1562972408464354,-0.0019090495737910478,0,0.003423637987496279,0.0,0,0.01637392080976481,0.0003473255929344043,3,0.030812741887466508,0.0005954153021732652,3,307.5,-4.166666666666667,0,3,0.48674390687648383,-0.013878941345798368,0,0.6392501272222307,-0.008750876403723185,0,0.5629970170493572,-0.011314908874760795,0,1.277342818134336,-0.018638786645906125,0,0.6386149697416096,-0.008766825342570376,0,0.5652708850263521,-0.011632238021674013,0,0.6393685674323758,-0.00932956614879358,0,0.6391362162212643,-0.008179486218562163,0,0.6392501272222307,-0.008750876403723074,0,0.9028257284222101,0.00044346710646873494,2,0.8606178613136323,-0.0003624334141434371,1,0.1407597069207138,0.0009194189415346887,2,0.09717427157778998,-0.00044346710646873494,1,0.1390983840794473,-0.08695053645072477,0,2.1057388543245477,0.5256332289492717,3,825.6347367491745,-994.4440280776672,0,0.086840670337396,-0.0050056163152005185,0,0.020878642888212267,0.0003443526170798887,3,0.066278816876903,0.0011961722488038247,3,0.09931854429462085,0.001540524865883718,3,275.0833333333333,-11.333333333333334,0,-0.0004064396477516786,-0.011314908874760795,-0.0031335569545039577,-0.011314908874760795,-0.011314908874760795,True,False
Q04_SPOT_GATED_MASKED_RESIDUAL,3,True,3,0.2721586711751834,-0.00016824682200124638,1,0.4123295451735058,-0.00018653973337680782,2,0.3422441081743446,-0.0001773932776890271,1,0.7672792268680485,-0.0006139557786870586,1,0.4084649029053285,-0.0001893185769894131,2,0.41587114768458244,3.116502887695605e-05,1,0.4548176706632043,-0.00036393261719395537,1,0.37710250455351696,-6.12955028981843e-05,2,0.41232954517350584,-0.00018653973337680782,2,0.6242608109409612,0.003014543002985648,3,0.5525371702275131,0.0048597628249758,3,0.46010314148426174,-0.004823354487083005,0,0.37573918905903875,-0.003014543002985648,0,0.11318313873693404,0.0016581706848674642,2,1.6135027016159027,0.010508341657983719,2,648.7887375657965,-14.043714745996832,1,0.1865701308603079,-0.010064177555210782,0,0.001387294297742059,0.0002870264064293915,3,0.008371603520857253,0.0005262150784538852,3,0.018465365480290853,0.0013872942977420598,3,435.6666666666667,-23.666666666666668,0,3,0.1506901966035407,-0.0013696138683316021,0,0.2711453217185464,-0.0010122288246721862,1,0.21091775916104352,-0.0011909213465018942,0,0.3161309103122954,-0.000843195479564518,1,0.2704921112546789,-0.0010124164120830688,1,0.4534172788962784,-0.0013833359255064348,0,0.2982165113204589,-0.0007954135646796034,1,0.24858019693737413,-0.001149473665479267,1,0.2711453217185464,-0.0010122288246722233,1,0.7210498397103254,-9.994080429287511e-05,2,0.576871924503373,0.0006460233984246407,3,0.4205367276499216,-0.0005642164921875747,1,0.2789501602896746,9.994080429287511e-05,1,0.3577476672299474,-0.013185161365644385,0,1.1259022324316128,0.08537845771207626,3,2488.230189082589,-113.40432535008176,0,0.12561574634530467,-0.004353387725069634,0,0.0019263368777931885,0.00019263368777931895,3,0.009284943750963169,0.0002696871628910461,2,0.019571582678378795,0.0006934812760055487,3,380.3333333333333,-9.416666666666666,0,3,0.24438826681001294,0.0041847201315711275,3,0.38036376870913435,0.0017074310923811768,3,0.31237601775957363,0.0029460756119761475,3,0.7262850256570341,0.002573533418645598,3,0.3762474568185084,0.001714590370318773,3,0.3859286113691021,0.003831606289503723,3,0.41766509597387563,0.0014799631609067239,3,0.3491795387486423,0.001842310775244956,3,0.3803637687091344,0.0017074310923812137,3,0.6300243483814314,-0.0007484133636690057,2,0.5648364889630998,-0.0025684446911805234,1,0.4446247701972685,0.002649589726388346,2,0.3699756516185686,0.0007484133636690057,1,0.141741903860479,0.006559395295720065,3,1.5627755508921528,-0.03377071788109339,0,518.2116372287684,12.681917365496664,3,0.1486909197038669,-0.00951537071635955,0,0.0036717276967351393,0.00024808970923886073,2,0.017465515530415796,0.0014389203135853912,3,0.03175548278257418,0.001538156197280937,3,292.0,-19.666666666666668,0,3,0.4871727817657688,-0.013450066456513457,0,0.6395767333620777,-0.00842427026387623,0,0.5633747575639233,-0.010937168360194835,0,1.2781304408402157,-0.017851163940026355,0,0.6389422027903716,-0.008439592293808418,0,0.5655948033309204,-0.011308319717105775,0,0.6397628086603266,-0.008935324920842628,0,0.6393944168899262,-0.007921285549900273,0,0.6395767333620777,-0.008424270263876118,0,0.9031482499541873,0.0007659886384460135,2,0.8605944776358383,-0.0003858170919373756,1,0.1408132054581154,0.0009729174789362971,2,0.0968517500458127,-0.0007659886384460135,1,0.14149503591151238,-0.08455388461865972,0,2.084447737703359,0.5043421123280827,3,849.2588834440684,-970.8198813827735,0,0.08010023666025601,-0.01174604999234049,0,0.021313614615050023,0.0007793243439176457,3,0.06812744671596345,0.0030448020878642893,3,0.10241771784833986,0.004639698419602725,3,257.5833333333333,-28.833333333333332,0,0.0005259203292617421,-0.010937168360194835,-0.002339851843102402,-0.010937168360194835,-0.010937168360194835,True,True
Q05_BOUNDARY_GATED_RESIDUAL,4,True,3,0.27274577137388206,0.0004188533766974108,3,0.41268733014948533,0.00017124524260268373,1,0.34271655076168367,0.000295049309650038,1,0.7676265961777936,-0.00026658646894199095,1,0.4088234905714825,0.00016926908916451802,1,0.4164786206260447,0.0006386379703391768,3,0.4550235796658017,-0.00015802361459652894,1,0.3775595976852378,0.00039579762882271014,1,0.41268733014948533,0.00017124524260268373,1,0.6251372435712222,0.003890975633246659,3,0.5529254258772464,0.005248018474708867,3,0.4598158901617145,-0.005110605809630205,0,0.3748627564287778,-0.003890975633246659,0,0.11220085141063063,0.0006758833585640278,2,1.6196958512754025,0.016701491317483885,2,641.7418711074033,-21.09058120438999,0,0.19128845876406522,-0.005345849651453423,0,0.001387294297742059,0.0002870264064293915,3,0.007845388442403367,5.782411586589357e-19,1,0.018321852277076157,0.0012437810945273627,3,446.5,-12.833333333333334,0,3,0.1500267836400723,-0.0020330268317999647,0,0.2701884105687084,-0.001969139974510148,1,0.21010759710439034,-0.0020010834031550704,0,0.31503926378934627,-0.0019348420025136481,1,0.2695343892928747,-0.001970138373887357,1,0.45289329501711295,-0.001907319804671903,0,0.29718672585168776,-0.0018251990334507602,1,0.24768715277164347,-0.002042517831209919,0,0.2701884105687084,-0.001969139974510148,1,0.7211036539895601,-4.6126525058235814e-05,2,0.5773857501142913,0.0011598490093429614,3,0.4199794672188866,-0.001121476923222527,0,0.27889634601043994,4.6126525058235814e-05,1,0.35600690867743645,-0.01492591991815532,0,1.1295111053590292,0.08898733063949275,3,2467.3114342441136,-134.32308018855716,0,0.12785422551458805,-0.002114908555786272,0,0.0018492834026814606,0.00011558021266759126,2,0.009130836800739714,0.00011558021266759126,2,0.01899368161504084,0.00011558021266759241,2,384.8333333333333,-4.916666666666667,0,3,0.2437123388023278,0.0035087921238859767,3,0.3801032684121753,0.001446930795422167,3,0.31190780360725157,0.0024778614596540813,3,0.7258313325411162,0.0021198403027276047,3,0.37598543754536057,0.0014525710971709516,3,0.38535675651263784,0.0032597514330393595,3,0.4174041904449048,0.0012190576319359714,3,0.34892307034241754,0.0015858423690202257,3,0.3801032684121753,0.0014469307954221116,3,0.6301740310541651,-0.0005987306909351897,2,0.5656287471336009,-0.001776186520679494,1,0.4438828733688395,0.0019076928979594083,2,0.3698259689458348,0.0005987306909351897,1,0.14027222131357012,0.005089712748811204,3,1.5748539229400003,-0.021692345833245863,0,511.46016442173664,5.9304445584649175,3,0.15315524895469862,-0.005051041465527817,0,0.003572491813039595,0.00014885382554331644,2,0.016770864344546988,0.0007442691277165814,3,0.031060831596705373,0.0008435050114121272,3,300.6666666666667,-11.0,0,3,0.48722989102431763,-0.013392957197964572,0,0.6400861428795562,-0.00791486074639769,0,0.563658016951937,-0.010653908972181103,0,1.2792224333718367,-0.016759171408405438,0,0.6394525766836235,-0.007929218400556493,0,0.5656442664227278,-0.011258856625298389,0,0.6403094009225426,-0.008388732658626719,0,0.639867008015038,-0.007448694424788423,0,0.6400861428795562,-0.007914860746397615,0,0.9032875206157228,0.0009052592999816053,2,0.8604640662602981,-0.0005162284674774901,1,0.1409677297015634,0.0011274417223842887,2,0.09671247938427711,-0.0009052592999816053,1,0.1404551585279665,-0.08559376200220559,0,2.096012423301578,0.5159067979263021,3,839.4855802243427,-980.5931846024992,0,0.08366795486732731,-0.008178331785269189,0,0.020987385819921708,0.0004530955487893282,2,0.06732999855009425,0.002247353921995071,3,0.10107655502392343,0.003298535595186313,3,265.3333333333333,-21.083333333333332,0,0.0002572757887163496,-0.010653908972181103,-0.0024705204015080134,-0.010653908972181103,-0.010653908972181103,True,True
