dataset,method,metric,value,status
a1,C00_G04_H05_CONFIRMED,ari,0.269205452457022,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,nmi,0.4086738847402008,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,q,0.3389396685986114,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,ami,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,fmi,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,homogeneity,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,completeness,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,v_measure,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,neighbor_agreement,0.6280959260329384,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,moran_i,0.5606016347119974,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,geary_c,0.4526393583479313,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,boundary_disagreement,0.3719040739670616,REUSED_AUTHORITY
a1,C00_G04_H05_CONFIRMED,runtime_seconds,,MISSING_SOURCE_ARTIFACT
a1,C00_G04_H05_CONFIRMED,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,ari,0.1529544047363917,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,nmi,0.2727226658089567,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,q,0.2128385352726742,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,ami,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,fmi,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,homogeneity,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,completeness,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,v_measure,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,neighbor_agreement,0.7212989229456399,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,moran_i,0.5766472292611043,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,geary_c,0.4206550687499758,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,boundary_disagreement,0.2787010770543601,REUSED_AUTHORITY
tonsil,C00_G04_H05_CONFIRMED,runtime_seconds,,MISSING_SOURCE_ARTIFACT
tonsil,C00_G04_H05_CONFIRMED,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,ari,0.2412005965640006,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,nmi,0.3776560475347793,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,q,0.3094283220493899,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,ami,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,fmi,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,homogeneity,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,completeness,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,v_measure,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,neighbor_agreement,0.6286193270267033,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,moran_i,0.5647579548195208,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,geary_c,0.4446146211783239,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,boundary_disagreement,0.3713806729732966,REUSED_AUTHORITY
d1,C00_G04_H05_CONFIRMED,runtime_seconds,,MISSING_SOURCE_ARTIFACT
d1,C00_G04_H05_CONFIRMED,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,ari,0.4202736779318662,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,nmi,0.590306354236177,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,q,0.5052900160840217,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,ami,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,fmi,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,completeness,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,v_measure,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,neighbor_agreement,0.8957218251786696,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,moran_i,0.8418616017521042,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,geary_c,0.1585973981287411,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,boundary_disagreement,0.1042781748213304,REUSED_AUTHORITY
p22,C00_G04_H05_CONFIRMED,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,C00_G04_H05_CONFIRMED,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,ari,0.2576308652304731,REUSED_AUTHORITY
d1,C01_G00_H05,nmi,0.383706161434126,REUSED_AUTHORITY
d1,C01_G00_H05,q,0.3206685133322995,REUSED_AUTHORITY
d1,C01_G00_H05,ami,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,fmi,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,homogeneity,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,completeness,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,v_measure,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,neighbor_agreement,0.6546012453598372,REUSED_AUTHORITY
d1,C01_G00_H05,moran_i,0.5914574632461969,REUSED_AUTHORITY
d1,C01_G00_H05,geary_c,0.4179600290791493,REUSED_AUTHORITY
d1,C01_G00_H05,boundary_disagreement,0.3453987546401628,REUSED_AUTHORITY
d1,C01_G00_H05,runtime_seconds,,MISSING_SOURCE_ARTIFACT
d1,C01_G00_H05,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,ari,0.4461450198068323,REUSED_AUTHORITY
p22,C01_G00_H05,nmi,0.6142239275122872,REUSED_AUTHORITY
p22,C01_G00_H05,q,0.5301844736595599,REUSED_AUTHORITY
p22,C01_G00_H05,ami,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,fmi,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,completeness,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,v_measure,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,neighbor_agreement,0.9158031885651458,REUSED_AUTHORITY
p22,C01_G00_H05,moran_i,0.8767388308606907,REUSED_AUTHORITY
p22,C01_G00_H05,geary_c,0.1252763311809731,REUSED_AUTHORITY
p22,C01_G00_H05,boundary_disagreement,0.0841968114348543,REUSED_AUTHORITY
p22,C01_G00_H05,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,C01_G00_H05,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,ari,0.2627352722852963,REUSED_AUTHORITY
a1,R02__E1_ADAPTER_C06_MEAN__H01,nmi,0.4021989134511017,REUSED_AUTHORITY
a1,R02__E1_ADAPTER_C06_MEAN__H01,q,0.332467092868199,REUSED_AUTHORITY
a1,R02__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
a1,R02__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,ari,0.2361112859381303,REUSED_AUTHORITY
d1,R02__E1_ADAPTER_C06_MEAN__H01,nmi,0.3798156893374832,REUSED_AUTHORITY
d1,R02__E1_ADAPTER_C06_MEAN__H01,q,0.3079634876378067,REUSED_AUTHORITY
d1,R02__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
d1,R02__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,ari,0.1490284196722368,REUSED_AUTHORITY
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,nmi,0.2664338792106179,REUSED_AUTHORITY
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,q,0.2077311494414274,REUSED_AUTHORITY
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
tonsil,R02__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,ari,0.503579568746274,REUSED_AUTHORITY
p22,R02__E1_ADAPTER_C06_MEAN__H01,nmi,0.6504231741663115,REUSED_AUTHORITY
p22,R02__E1_ADAPTER_C06_MEAN__H01,q,0.5770013714562927,REUSED_AUTHORITY
p22,R02__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
