lane,selected_full_config,full_ari,full_nmi,matched_backbone_ari,matched_backbone_nmi,delta_vs_backbone_ari,delta_vs_backbone_nmi,double_better_than_backbone,matched_control_double_wins,matched_control_count,independent_control_gate,lane_gate_pass,night16h_strong_ari,night16h_strong_nmi,delta_vs_night16h_ari,delta_vs_night16h_nmi
P22_K9,C01_CONSERVATIVE,0.3509288922126309,0.5454913085774289,0.3592608660883779,0.5570971255510148,-0.008331973875746967,-0.01160581697358587,False,1,4,False,False,0.5875325536381577,0.7089736211480059,-0.2366036614255268,-0.163482312570577
MISAR_K7,C01_CONSERVATIVE,0.3587937887916161,0.5340288873683554,0.36136695375073,0.5374996677171828,-0.002573164959113916,-0.003470780348827418,False,1,4,False,False,0.5346235433360444,0.6567718908460013,-0.17582975454442834,-0.12274300347764588
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE,0.2119361812939921,0.2517956805580166,0.199666322460026,0.2451232220000034,0.012269858833966113,0.006672458558013211,True,1,4,False,False,0.5961783620969016,0.5854895180308324,-0.38424218080290945,-0.3336938374728158
