lane,candidate_id,arm,config_id,training_seed,partition_sha256,representation_sha256,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size,cluster_sizes,changed_from_strong_start,wall_seconds,peak_gpu_mib,peak_rss_mib
P22_K9,INPUT_STRONG_START,INPUT_STRONG_START,BASELINE,0,bcc866123bedd713e0570f6ee51950aaaa96ef72d27e9a4099c500433c786026,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,0.5875325536381577,0.7089736211480059,0.7084699608014403,0.6487336497556058,0.7195964937791552,0.7089736211480059,0.9334454442970213,0.0690166344410127,0.9589551081190084,9196,9196,9,164,"[1147, 624, 1513, 790, 1069, 1520, 544, 1825, 164]",0,7.545810222625732,149.53271484375,943.56640625
P22_K9,FROZEN_RETAINED_SAME_HEAD,FROZEN_RETAINED_SAME_HEAD,BASELINE,0,aa19723d8b5d1f5a8fb7a902c78fe28576d0256bc064f0fdcbb565ba06dd8233,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,0.3893001347475836,0.5781562739167619,0.5774443501300853,0.4758730327213828,0.600046171525966,0.5781562739167619,0.8257101754700343,0.1754147793195579,0.8459963391555239,9196,9196,9,708,"[894, 1009, 1232, 711, 735, 1604, 708, 1497, 806]",3356,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C01_CONSERVATIVE,0,dc5b2b86657c348164362668d23a7480140e89a1d57457435d63d397576dddd4,e48d69d8fdb4f4f441d1d90c4fd965bf7bc2694ed56bc59d8ecf00a6700af6ce,0.3592608660883779,0.5570971255510148,0.5563482246944448,0.4501079913276819,0.5771138154867236,0.5570971255510148,0.8203674147156572,0.1810779225223675,0.8436385071200323,9196,9196,9,712,"[904, 791, 1465, 718, 730, 1572, 712, 1491, 813]",3281,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__FULL_CSBO__S0,FULL_CSBO,C01_CONSERVATIVE,0,40ca4752bbbc845f4cdd7433d7387b197d474e44dd0aaca74a1105ae135c4a4e,60d0e8b5ff61f07557804991ff076ece786800f0d1e83a734bac43b8d7e2a02a,0.3509288922126309,0.5454913085774289,0.5447238595575873,0.4425681121639508,0.5658657111903691,0.5454913085774289,0.7962783831540771,0.2051684741695377,0.8200601867651165,9196,9196,9,691,"[1030, 820, 1429, 691, 744, 1471, 704, 1502, 805]",3401,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C01_CONSERVATIVE,0,48f20c89d069bb464a6cbe50ea783956181dac3f450de8b4d6223672b96f8a4e,2e219a394a1f273c9028b8414594d4e14d2e1f96c3a4d8351c8d55dacde62afb,0.3875466489584186,0.5759896296543378,0.5752742911019483,0.4742953338864562,0.5979939020916155,0.5759896296543379,0.8195702408836847,0.1816639486604033,0.8399776626438743,9196,9196,9,705,"[910, 1013, 1218, 709, 736, 1601, 705, 1484, 820]",3386,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C01_CONSERVATIVE,0,7899ba51bcd8ecba31f7d128ed4be4557ea66f8f0e479d1cf06a303829324865,fe52988d023ce6538b8869708817ae4388a0505cd489ac65036f98601a6e89df,0.39169947465455,0.5824256075946044,0.5817205547282507,0.4780430099086965,0.6041966551356537,0.5824256075946045,0.8278261343164467,0.1732588241845657,0.8487574845655074,9196,9196,9,706,"[858, 990, 1243, 721, 737, 1643, 706, 1487, 811]",3317,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C01_CONSERVATIVE,0,a1275c2d0fd5b505bd461de1dd1b5b96e83f36c5d2c9effc50020205baf51e62,aa4ee6f10580f214ef3eebe9646f2a11ec49b9d1b6e7fdc524a7c14f3e36982e,0.3909818549775581,0.5805667423147856,0.5798588081062475,0.4773562322166736,0.6024823107868529,0.5805667423147854,0.8266691349235672,0.174495205523445,0.8470201346446189,9196,9196,9,702,"[880, 1004, 1234, 717, 736, 1622, 702, 1486, 815]",3328,7.545810222625732,149.53271484375,943.56640625
P22_K9,C01_CONSERVATIVE__CONFLICT_AS_POSITIVE__S0,CONFLICT_AS_POSITIVE,C01_CONSERVATIVE,0,3014ffde6b494d214ad20c9b9ee66a267f69d86cc7d97ef6622200d3fa5ab53d,e73fe7df6fd30ae5a6aa929ec981ff48d09df4514de711c2d852d76d8cf2f144,0.350816412053378,0.5451430912591344,0.5443751827173379,0.4424394015669785,0.5655959313484324,0.5451430912591344,0.7967935358600087,0.2046525906373895,0.8204324760338784,9196,9196,9,692,"[1028, 825, 1425, 692, 747, 1471, 704, 1497, 807]",3397,7.545810222625732,149.53271484375,943.56640625
P22_K9,C02_BALANCED__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C02_BALANCED,0,bd32eaefa7d7a6cc23ced1871ffc683f1b0bfaf4b47aebd3ce8c0e1dabd79781,0c59ea30e1650d1234bb22b197919128dfd67d9e2ea7512c1de3215c60681cc2,0.3563910446439449,0.5568673875791765,0.556116288884783,0.448123744943686,0.5755276387357708,0.5568673875791765,0.808050941372543,0.1932095874164341,0.8359135047932243,9196,9196,9,680,"[844, 743, 1469, 729, 727, 1686, 680, 1499, 819]",3272,7.545810222625732,149.53271484375,943.56640625
P22_K9,C02_BALANCED__FULL_CSBO__S0,FULL_CSBO,C02_BALANCED,0,08936fb691fa2e035320ce0985d0b78c058418c7f6734117586566f3a70199d4,11ff5360495f71526b3261372861719eef80ed2c23a8a960597107efe42a734d,0.2817070786258303,0.4736926380658683,0.4728083053153135,0.3810967975674793,0.4937409399437913,0.4736926380658684,0.5630981629970432,0.4381132714455308,0.5932429497719728,9196,9196,9,642,"[1399, 1165, 1060, 642, 1227, 1123, 720, 1127, 733]",4698,7.545810222625732,149.53271484375,943.56640625
P22_K9,C02_BALANCED__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C02_BALANCED,0,a6321fa3ecb8c90d2ff4094f2cec8ae30afc0012739979ac00042cab4832698c,ef6a2bf87d4c70bac8799413f5d51259163f5ad91f62fa105ba17eaaf01fa40f,0.3320230501366105,0.5167566252883684,0.51594427473294,0.4252088306035528,0.5383794311863285,0.5167566252883685,0.7023215846261394,0.2990247122287373,0.7264294356715167,9196,9196,9,703,"[1275, 828, 1371, 703, 727, 1246, 722, 1159, 1165]",3911,7.545810222625732,149.53271484375,943.56640625
P22_K9,C02_BALANCED__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C02_BALANCED,0,86cea3148ec217b9b69b31ccc3bb89201913f59b06fec1fd0e3bfa8f84ce17b6,60014740f1a3c02e5f932b2a8f5e1d453bd36c76b0591911ad4603895707a1a9,0.3868286871515162,0.5824884547710937,0.5817812766570111,0.4743522478248073,0.602415394348189,0.5824884547710937,0.8312682493667366,0.1696793111223351,0.8553035708745695,9196,9196,9,654,"[736, 972, 1283, 724, 740, 1761, 654, 1493, 833]",3261,7.545810222625732,149.53271484375,943.56640625
P22_K9,C02_BALANCED__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C02_BALANCED,0,3541b1e87846f5e5ac9f7b93a3bf2e721099c137d0119009ce51b5b5e8f97058,edcb245cca466cb83898fd7e40f4bedebeb1f8edb7db6da4f612d81decc5cc64,0.3866259304127835,0.5810971322129889,0.5803877254869639,0.4741282554235528,0.6010860135903736,0.581097132212989,0.82519707570296,0.1758060400749981,0.8492228461514597,9196,9196,9,625,"[758, 1013, 1245, 723, 755, 1739, 625, 1517, 821]",3260,7.545810222625732,149.53271484375,943.56640625
