fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,4b14435aed1b03caceea3fd917c54384a8cba2941e8efee066d473598b36b3e3,1
0.003125,False,ea4685956b0699d3a3a8ddb40d3b6b73aa1e5e405f2c6d1c5aca3970b63f727d,5
0.00625,False,f8707f83b939dc35b9b822b75b9a68c0a917b1e13a630f79749d4f80af9cabdb,10
0.0125,False,6a543bb49d4c0571155f6ebb8d0d595804769b03bd185a146f6a3c38408ecd82,20
0.025,False,eabad9ae7b818b0c10ef26bea6c58b8a2485fc58df575952a292abfda177f0b0,40
0.05,False,c80a42b1dc1dd0fc28eeb63b9a1ea11c20c418a4ab127867277454a3007373fb,80
0.2,False,e69743b00292586f3323cdf156a381745db4dc97b8467989ea4da344e7f0490f,320
0.5,False,fc1731b24d9f8036d49da78cd3b338abe75a17cd25fc322d211886cc9c473c46,800
1.0,False,b051a1cbfd36542eeccb0aacbc71694718f96ffdef378337eb5859dfebc2f3e4,1600
